common_name,action,name_original,channel,N0,K_base,K_max,r_min_ricker,r_max_ricker,r_min_lgm,r_max_lgm,lambda,r_setpoint_ricker,r_setpoint_lgm,dK_step,dN,cost_step
Egyptian vulture,a0,Do Nothing,none,41,325,650,-0.2558,-0.0098,-0.2257,-0.0098,0.9128,-0.0912,-0.0872,0.0,0.0,0.0
Egyptian vulture,a1,Sustainable Harvest,rate,41,325,650,-0.2558,-0.0098,-0.2257,-0.0098,0.8042,-0.2179,-0.1958,0.0,0.0,-0.05
Egyptian vulture,a2,Aggressive Harvest,rate,41,325,650,-0.2558,-0.0098,-0.2257,-0.0098,0.7743,-0.2558,-0.2257,0.0,0.0,-0.1
Egyptian vulture,a3,Predator / Disease Control,rate,41,325,650,-0.2558,-0.0098,-0.2257,-0.0098,0.9804,-0.0198,-0.0196,0.0,0.0,0.25
Egyptian vulture,a4,Breeding / Recruitment Support,rate,41,325,650,-0.2558,-0.0098,-0.2257,-0.0098,0.9902,-0.0098,-0.0098,0.0,0.0,0.5
Egyptian vulture,a5,Moderate Restoration,capacity,41,325,650,-0.2558,-0.0098,-0.2257,-0.0098,0.9128,-0.0912,-0.0872,32.5,0.0,0.1875
Egyptian vulture,a6,Intensive Restoration,capacity,41,325,650,-0.2558,-0.0098,-0.2257,-0.0098,0.9128,-0.0912,-0.0872,97.5,0.0,0.5
Egyptian vulture,a7,Integrated Conservation (light),rate+capacity,41,325,650,-0.2558,-0.0098,-0.2257,-0.0098,0.9804,-0.0198,-0.0196,32.5,0.0,0.4375
Egyptian vulture,a8,Adaptive Conservation Trial,rate+capacity,41,325,650,-0.2558,-0.0098,-0.2257,-0.0098,0.9804,-0.0198,-0.0196,97.5,0.0,0.75
Egyptian vulture,a9,Flagship Conservation Programme,rate+capacity,41,325,650,-0.2558,-0.0098,-0.2257,-0.0098,0.9902,-0.0098,-0.0098,97.5,0.0,1.0
Egyptian vulture,a10,Translocation,state,41,325,650,-0.2558,-0.0098,-0.2257,-0.0098,0.9128,-0.0912,-0.0872,0.0,4.1,0.3125
Bottlenose dolphin,a0,Do Nothing,none,25,35,70,-0.1492,-0.0212,-0.1386,-0.021,0.9376,-0.0644,-0.0624,0.0,0.0,0.0
