common_name,lambda_id,lambda,r_ricker,r_lgm
Egyptian vulture,a0,0.9128,-0.0912,-0.0872
Egyptian vulture,a1,0.8042,-0.2179,-0.1958
Egyptian vulture,a2,0.7743,-0.2558,-0.2257
Egyptian vulture,a3,0.9804,-0.0198,-0.0196
Egyptian vulture,a4,0.9902,-0.0098,-0.0098
Bottlenose dolphin,a0,0.9376,-0.0644,-0.0624
Bottlenose dolphin,a1,0.8661,-0.1438,-0.1339
Bottlenose dolphin,a2,0.8614,-0.1492,-0.1386
Bottlenose dolphin,a3,0.9775,-0.0228,-0.0225
Bottlenose dolphin,a4,0.979,-0.0212,-0.021
Amur tiger,a0,0.9552,-0.0458,-0.0448
Amur tiger,a1,0.8305,-0.1857,-0.1695
Amur tiger,a2,0.6217,-0.4753,-0.3783
Amur tiger,a3,1.0279,0.0275,0.0279
Amur tiger,a4,1.0733,0.0707,0.0733
Spotted turtle,a0,0.995,-0.005,-0.005
Spotted turtle,a1,0.9633,-0.0374,-0.0367
Spotted turtle,a2,0.94,-0.0619,-0.06
Spotted turtle,a3,1.0111,0.011,0.0111
Spotted turtle,a4,1.0203,0.0201,0.0203
Asian elephant,a0,1.0189,0.0187,0.0189
Asian elephant,a1,1.005,0.005,0.005
Asian elephant,a2,0.9995,-0.0005,-0.0005
Asian elephant,a3,1.0263,0.026,0.0263
Asian elephant,a4,1.0287,0.0283,0.0287
Puerto Rican parrot,a0,1.0625,0.0606,0.0625
Puerto Rican parrot,a1,0.9801,-0.0201,-0.0199
Puerto Rican parrot,a2,0.8658,-0.1441,-0.1342
Puerto Rican parrot,a3,1.1058,0.1006,0.1058
Puerto Rican parrot,a4,1.1465,0.1367,0.1465
Iberian lynx,a0,1.1166,0.1103,0.1166
Iberian lynx,a1,1.0149,0.0148,0.0149
Iberian lynx,a2,0.9643,-0.0364,-0.0357
Iberian lynx,a3,1.1687,0.1559,0.1687
Iberian lynx,a4,1.1906,0.1745,0.1906
Jaguar,a0,1.1721,0.1588,0.1721
Jaguar,a1,1.1277,0.1202,0.1277
Jaguar,a2,0.9698,-0.0307,-0.0302
Jaguar,a3,1.1948,0.178,0.1948
Jaguar,a4,1.2534,0.2259,0.2534
Crab-eating fox,a0,1.3813,0.323,0.3813
Crab-eating fox,a1,1.2334,0.2098,0.2334
Crab-eating fox,a2,0.987,-0.0131,-0.013
Crab-eating fox,a3,1.4592,0.3779,0.4592
Crab-eating fox,a4,1.5555,0.4418,0.5555
