index,package_role,reward_mode,population,recoverable,environment,num_actions,sigma_obs,method,filter,expose_rk,target_rows,actual_rows,overshoot_rows,episode_count,collection_seed,episode_length,evaluation_seed,evaluation_seeds,evaluation_episodes,episodes_per_evaluation_seed,evaluation_horizon,horizon,sequences,pessimism,bamcts_depth,bamcts_simulations,ogsrl_cost_horizon,ogsrl_deployment_rollouts
0,phase2e_full_sigma01_02,safe,Egyptian vulture,False,ricker,11,0.1,refplan,learned,hidden,4000,4000,0,160,116,25,7001,7001;7051;7101;7151;7201,20,4,50,5,96,0.5,8,256,25,256
1,phase2e_full_sigma01_02,safe,Egyptian vulture,False,ricker,11,0.1,ogsrl,learned,hidden,4000,4000,0,160,116,25,7001,7001;7051;7101;7151;7201,20,4,50,5,96,0.5,8,256,25,256
2,phase2e_full_sigma01_02,safe,Egyptian vulture,False,ricker,11,0.1,bamcts,learned,hidden,4000,4000,0,160,116,25,7001,7001;7051;7101;7151;7201,20,4,50,5,96,0.5,8,256,25,256
3,phase2e_full_sigma01_02,safe,Egyptian vulture,False,ricker,11,0.1,ensemble_value_disagreement_pessimism,learned,hidden,4000,4000,0,160,116,25,7001,7001;7051;7101;7151;7201,20,4,50,5,96,0.5,8,256,25,256
4,phase2e_full_sigma01_02,safe,Egyptian vulture,False,ricker,11,0.2,refplan,learned,hidden,4000,4000,0,160,116,25,7001,7001;7051;7101;7151;7201,20,4,50,5,96,0.5,8,256,25,256
5,phase2e_full_sigma01_02,safe,Egyptian vulture,False,ricker,11,0.2,ogsrl,learned,hidden,4000,4000,0,160,116,25,7001,7001;7051;7101;7151;7201,20,4,50,5,96,0.5,8,256,25,256
6,phase2e_full_sigma01_02,safe,Egyptian vulture,False,ricker,11,0.2,bamcts,learned,hidden,4000,4000,0,160,116,25,7001,7001;7051;7101;7151;7201,20,4,50,5,96,0.5,8,256,25,256
7,phase2e_full_sigma01_02,safe,Egyptian vulture,False,ricker,11,0.2,ensemble_value_disagreement_pessimism,learned,hidden,4000,4000,0,160,116,25,7001,7001;7051;7101;7151;7201,20,4,50,5,96,0.5,8,256,25,256
8,phase2e_full_sigma01_02,safe,Egyptian vulture,False,allee,11,0.1,refplan,learned,hidden,4000,4000,0,160,116,25,7001,7001;7051;7101;7151;7201,20,4,50,5,96,0.5,8,256,25,256
9,phase2e_full_sigma01_02,safe,Egyptian vulture,False,allee,11,0.1,ogsrl,learned,hidden,4000,4000,0,160,116,25,7001,7001;7051;7101;7151;7201,20,4,50,5,96,0.5,8,256,25,256
10,phase2e_full_sigma01_02,safe,Egyptian vulture,False,allee,11,0.1,bamcts,learned,hidden,4000,4000,0,160,116,25,7001,7001;7051;7101;7151;7201,20,4,50,5,96,0.5,8,256,25,256
11,phase2e_full_sigma01_02,safe,Egyptian vulture,False,allee,11,0.1,ensemble_value_disagreement_pessimism,learned,hidden,4000,4000,0,160,116,25,7001,7001;7051;7101;7151;7201,20,4,50,5,96,0.5,8,256,25,256
