category	origin	source_path	line_numbers
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/benchmark/SERVER_HANDOFF_hidden_rk_experiment_setting.md	8
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/benchmark/SERVER_PLAN_general_method_audit.md	279
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/benchmark/SERVER_PLAN_motivation_native_run.md	47,133,134,135,136,138,189
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/benchmark/SERVER_STATUS_motivation_native_launch_readiness.md	29,73
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/benchmark/SERVER_STATUS_motivation_native_launch_readiness.md	23,77
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/benchmark/hide_r_k/SERVER_RUN_AUDIT_HANDOFF_hidden_rK_20260716.md	52,56,60,69,113
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/claude_build_report/EXPERIMENT_REPORT.md	5,101,115
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/claude_build_report/latex/main.tex	25,220,249
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/fix_implement_ecology_baseline/PHASE1_AUDIT_REPORT_paper_aligned_plus_moor.md	20
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/fix_implement_ecology_baseline/archive/CLAUDE_AUDIT_CORRECTED_PLUS_MOOR_IMPLEMENTATION.md	62
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/fix_implement_ecology_baseline/archive/CLAUDE_AUDIT_CORRECTED_PLUS_MOOR_PLAN.md	21
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/fix_implement_ecology_baseline/archive/SERVER_HANDOFF_RUN_CORRECTED_ADAPTED_PLUS_MOOR.md	45,192
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/116_refplan_danger_zone_experiment_plan.md	543,547
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/29_6_tier2_continuous_state_implementation_handoff.md	558,559,560
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/29_6_tier3_12h_experiment_plan.md	221,327
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/29_6_tier3_12h_experiment_plan.md	61,66,269,282,302,312,313,314
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/HANDOFF_claude_build_removal_and_open_issues_2026-07-09.md	5,6,131,164,206
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/HANDOFF_promote_benchmark_to_repo_root_2026-07-09.md	5,55,143
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/HANDOFF_real_ecology_data_setting.md	383
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/HANDOFF_reduce_duplication_2026-07-09.md	6
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/HANDOFF_repo_cleanup_discrete_action_cont_obser_2026-07-09.md	4,305,318
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/HANDOFF_repo_polish_2026-07-09.md	37,214
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/PLAN_single_real_data_repo_with_dummy_setpoint_2026-07-09.md	316
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/PLAN_single_real_data_repo_with_dummy_setpoint_REVISED_2026-07-09.md	490
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/REPO_BRIEF.md	18,128,138,238,241
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/REPO_BRIEF.md	169,175
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/SPEC_documentation_bundle_2026-07-10.md	6
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/add_baseline_md/add_bamcts_to_stress116_flow.md	189,219
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/add_baseline_md/add_bamcts_to_stress116_flow.md	204
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/add_baseline_md/add_baseline_deeprl.md	14
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/add_baseline_md/add_baseline_offlinerl_ecology.md	200
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/codex_claude_conversation_md/136_claude_ask_codex_modify.md	34
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/codex_claude_conversation_md/136_claude_ask_codex_modify.md	18,29
absolute-path	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/codex_claude_conversation_md/137_claude_final_benchmark_halfday_config.md	86
cluster-assumption	ECO_FROZEN	/home/hphung/ce25_scratch2/Claude_DeepRL_Population_Models/real_ecology_runs/ricker_only_plus_72_20260720/runtime_snapshot_routing_fix/docs/history/codex_claude_conversation_md/137_claude_final_benchmark_halfday_config.md	59,89
