population,environment,sigma_obs,reward_mode,method,dataset_sha256,source
Amur tiger,ricker,0.1,safe,refplan,2cc7611c7bbcb6f72cbda49db73cfc24bde41b297564581dc90a5f60cf3c0d85,accepted frozen general-RL P=10
Amur tiger,ricker,0.1,safe,ogsrl,2cc7611c7bbcb6f72cbda49db73cfc24bde41b297564581dc90a5f60cf3c0d85,accepted frozen general-RL P=10
Amur tiger,ricker,0.1,safe,bamcts,2cc7611c7bbcb6f72cbda49db73cfc24bde41b297564581dc90a5f60cf3c0d85,accepted frozen general-RL P=10
Amur tiger,ricker,0.1,safe,ensemble_value_disagreement_pessimism,2cc7611c7bbcb6f72cbda49db73cfc24bde41b297564581dc90a5f60cf3c0d85,accepted frozen general-RL P=10
Amur tiger,ricker,0.1,safe,plus_adapted_ricker_only_pbvi,2cc7611c7bbcb6f72cbda49db73cfc24bde41b297564581dc90a5f60cf3c0d85,accepted P=10 ecological correction
Amur tiger,ricker,0.1,safe,moor_adapted_ricker_misspec_pbvi,2cc7611c7bbcb6f72cbda49db73cfc24bde41b297564581dc90a5f60cf3c0d85,accepted P=10 ecological correction
Amur tiger,ricker,0.2,safe,refplan,04f38e874ce0f95cdf69acfdd639b511c1c828972dd7e043193c751609768080,accepted frozen general-RL P=10
Amur tiger,ricker,0.2,safe,ogsrl,04f38e874ce0f95cdf69acfdd639b511c1c828972dd7e043193c751609768080,accepted frozen general-RL P=10
Amur tiger,ricker,0.2,safe,bamcts,04f38e874ce0f95cdf69acfdd639b511c1c828972dd7e043193c751609768080,accepted frozen general-RL P=10
Amur tiger,ricker,0.2,safe,ensemble_value_disagreement_pessimism,04f38e874ce0f95cdf69acfdd639b511c1c828972dd7e043193c751609768080,accepted frozen general-RL P=10
Amur tiger,ricker,0.2,safe,plus_adapted_ricker_only_pbvi,04f38e874ce0f95cdf69acfdd639b511c1c828972dd7e043193c751609768080,accepted P=10 ecological correction
Amur tiger,ricker,0.2,safe,moor_adapted_ricker_misspec_pbvi,04f38e874ce0f95cdf69acfdd639b511c1c828972dd7e043193c751609768080,accepted P=10 ecological correction
Amur tiger,allee,0.1,safe,refplan,a408ee1968a695414be8bf3bfdbd0f87ee60588e2b6fa68872593ecb25f07059,accepted frozen general-RL P=10
Amur tiger,allee,0.1,safe,ogsrl,a408ee1968a695414be8bf3bfdbd0f87ee60588e2b6fa68872593ecb25f07059,accepted frozen general-RL P=10
Amur tiger,allee,0.1,safe,bamcts,a408ee1968a695414be8bf3bfdbd0f87ee60588e2b6fa68872593ecb25f07059,accepted frozen general-RL P=10
Amur tiger,allee,0.1,safe,ensemble_value_disagreement_pessimism,a408ee1968a695414be8bf3bfdbd0f87ee60588e2b6fa68872593ecb25f07059,accepted frozen general-RL P=10
Amur tiger,allee,0.1,safe,plus_adapted_ricker_only_pbvi,a408ee1968a695414be8bf3bfdbd0f87ee60588e2b6fa68872593ecb25f07059,accepted P=10 ecological correction
Amur tiger,allee,0.1,safe,moor_adapted_ricker_misspec_pbvi,a408ee1968a695414be8bf3bfdbd0f87ee60588e2b6fa68872593ecb25f07059,accepted P=10 ecological correction
Amur tiger,allee,0.2,safe,refplan,7e71172af4bc95b2c31291414af53371c1ea94393e01675d269b2b7c360324c9,accepted frozen general-RL P=10
Amur tiger,allee,0.2,safe,ogsrl,7e71172af4bc95b2c31291414af53371c1ea94393e01675d269b2b7c360324c9,accepted frozen general-RL P=10
Amur tiger,allee,0.2,safe,bamcts,7e71172af4bc95b2c31291414af53371c1ea94393e01675d269b2b7c360324c9,accepted frozen general-RL P=10
Amur tiger,allee,0.2,safe,ensemble_value_disagreement_pessimism,7e71172af4bc95b2c31291414af53371c1ea94393e01675d269b2b7c360324c9,accepted frozen general-RL P=10
Amur tiger,allee,0.2,safe,plus_adapted_ricker_only_pbvi,7e71172af4bc95b2c31291414af53371c1ea94393e01675d269b2b7c360324c9,accepted P=10 ecological correction
