population,population_class,environment,sigma_obs,reward_mode,collapse_penalty,method,method_label,episodes,evaluation_horizon,discount,operational_return_mean,operational_return_sd,collapse_rate,unsafe_fraction,mvp_breach_rate,persistence_mean,min_population_mean,economic_cost_mean,dataset_sha256,source,episodes_path,episodes_sha256,action_entropy_mean,constant_episode_policy,pbvi_action_margin_min,pbvi_argmax_actions
Amur tiger,declining recoverable,ricker,0.1,safe,10.0,refplan,RefPlan-inspired,20,50,0.95,2.009219401206387,0.652287123534425,0.0,0.0,0.0,1.0,176.73644527444395,19.127499999999998,2cc7611c7bbcb6f72cbda49db73cfc24bde41b297564581dc90a5f60cf3c0d85,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,ricker,0.1,safe,10.0,ogsrl,OGSRL-inspired,20,50,0.95,4.173246286986803,0.1718515798482068,0.0,0.0,0.0,1.0,104.15658191285782,8.453125,2cc7611c7bbcb6f72cbda49db73cfc24bde41b297564581dc90a5f60cf3c0d85,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,ricker,0.1,safe,10.0,bamcts,BA-MCTS-inspired,20,50,0.95,1.1046637087232754,0.9141733221293576,0.0,0.0,0.0,1.0,197.28847224106366,23.573124999999997,2cc7611c7bbcb6f72cbda49db73cfc24bde41b297564581dc90a5f60cf3c0d85,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,ricker,0.1,safe,10.0,ensemble_value_disagreement_pessimism,EVD,20,50,0.95,-13.831394191797827,5.099541483591405,1.0,0.28823529411764703,1.0,0.0,11.7072307045035,4.523124999999999,2cc7611c7bbcb6f72cbda49db73cfc24bde41b297564581dc90a5f60cf3c0d85,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,ricker,0.1,safe,10.0,plus_adapted_ricker_only_pbvi,PLUS P=10,20,50,0.95,4.224420899026084,9.112518314015307e-16,0.0,0.0,0.0,1.0,200.0,15.625,2cc7611c7bbcb6f72cbda49db73cfc24bde41b297564581dc90a5f60cf3c0d85,accepted P=10 ecological correction,/fs04/scratch2/ce25/Claude_DeepRL_Population_Models/real_ecology_runs/three_species_ecological_p10_correction_20260723_v1/plus/evaluation/regime_hidden/amur_tiger/ricker/sigma_0p1/plus_three_species_matched_p10_v1/data_real/backend_numpy/regime_hidden/reward_safe/plus_adapted_ricker_only_pbvi/faithful_internal/episodes.csv,5fed3042f290e626b5af4d8335e15b3ddec4ab93eea4cf5f74d70662151c0280,0.0,True,0.19100609647270694,10;3;10;10;10;10;10;10
Amur tiger,declining recoverable,ricker,0.1,safe,10.0,moor_adapted_ricker_misspec_pbvi,MOOR P=10,20,50,0.95,4.224420899026084,9.112518314015307e-16,0.0,0.0,0.0,1.0,200.0,15.625,2cc7611c7bbcb6f72cbda49db73cfc24bde41b297564581dc90a5f60cf3c0d85,accepted P=10 ecological correction,/fs04/scratch2/ce25/Claude_DeepRL_Population_Models/real_ecology_runs/three_species_ecological_p10_correction_20260723_v1/moor/evaluation/regime_hidden/amur_tiger/ricker/sigma_0p1/moor_three_species_matched_p10_v1/data_real/backend_numpy/regime_hidden/reward_safe/moor_adapted_ricker_misspec_pbvi/faithful_internal/episodes.csv,f9636836e40faae7cb027f6caee5a26030cc0c4f7b7c0e68f5a90a766a13ca82,0.0,True,0.36538087874676073,10
Amur tiger,declining recoverable,ricker,0.2,safe,10.0,refplan,RefPlan-inspired,20,50,0.95,2.167699004025657,0.6805811660055401,0.0,0.0,0.0,1.0,175.37925142088733,19.179375,04f38e874ce0f95cdf69acfdd639b511c1c828972dd7e043193c751609768080,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,ricker,0.2,safe,10.0,ogsrl,OGSRL-inspired,20,50,0.95,4.312364261170517,0.2093041576515007,0.0,0.0,0.0,1.0,103.58143917461105,7.748749999999999,04f38e874ce0f95cdf69acfdd639b511c1c828972dd7e043193c751609768080,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,ricker,0.2,safe,10.0,bamcts,BA-MCTS-inspired,20,50,0.95,1.2920612251343735,1.4198146240578486,0.0,0.0,0.0,1.0,199.81564361968384,22.8125,04f38e874ce0f95cdf69acfdd639b511c1c828972dd7e043193c751609768080,accepted frozen general-RL P=10,,,,,,
Amur tiger,declining recoverable,ricker,0.2,safe,10.0,ensemble_value_disagreement_pessimism,EVD,20,50,0.95,-15.63827184999423,4.769364249670105,1.0,0.3078431372549019,1.0,0.0,9.712010051636614,4.7875,04f38e874ce0f95cdf69acfdd639b511c1c828972dd7e043193c751609768080,accepted frozen general-RL P=10,,,,,,
