cell_id,method,source_method,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15
A1_crab_eating_fox_ricker_s0p2,moor,moor_adapted_ricker_misspec_pbvi,"{""available"":false,""reason"":""PLUS only""}","{""available"":false,""reason"":""PLUS only""}","{""available"":false,""reason"":""PLUS only""}","{""available"":true,""frac_below_0.001"":0.04,""frac_below_0.01"":0.355,""max"":0.06066020480648149,""mean"":0.013135669011022404,""median"":0.011920278141100304,""min"":0.00029402732702932255,""p5"":0.0018827476380522735}","{""available"":false,""reason"":""PLUS only""}","{""accepted_return_mean"":10.385564166150926,""available"":true,""cost_disc_mean"":-1.4357576160656214,""identity_residual"":3.552713678800501e-15,""parity_delta"":0.0,""parity_pass"":true,""penalty_disc_mean"":0.0,""penalty_share_of_magnitude"":0.0,""return_mean"":10.385564166150926,""return_sd"":0.036541229015157696,""utility_disc_mean"":8.949806550085306}","{""available"":true,""families_collapse_everywhere"":false,""frac_r_pos_zero"":0.587,""r_pos_max"":0.2098}","{""available"":true,""frac_below_threshold"":0.0,""min_ratio_m_over_C"":2.667949142512457}","{""available"":true,""frac_steps_weak_regime"":0.5,""frac_switches_followed_by_action_change"":NaN,""switches_per_episode_mean"":0.0,""switches_per_episode_sd"":0.0}","{""available"":false,""reason"":""matched low/high-noise cell pair not present in replay subset""}","{""available"":false,""reason"":""EVD only""}","{""available"":false,""reason"":""OGSRL only""}","{""available"":true,""danger_stratum_ever_visited"":false,""me_all"":-0.010688611026508761,""me_safe"":-0.010688611026508761,""me_unsafe"":NaN,""n_safe"":1000,""n_unsafe"":0,""rmse_all"":0.05404078045206209,""rmse_safe"":0.05404078045206209,""rmse_unsafe"":NaN}","{""available"":true,""belief_fields_present"":true,""comparable_with_filtering_methods"":true,""method"":""moor"",""note"":"""",""uses_public_reward_surrogate"":true,""uses_sigma_obs"":true}","{""available"":true,""deployed_equals_myopic_oracle"":0.587,""modal_deployed_action"":2,""modal_oracle_action"":2,""true_margin_mean"":0.04278935453989802,""true_margin_median"":0.04317096231670853,""true_margin_min"":0.03184632540505633}"
A1_crab_eating_fox_ricker_s0p2,plus,plus_adapted_ricker_only_pbvi,"{""available"":true,""effective_candidates_mean"":6.798581527372524,""entropy_end_mean"":1.7517954311727812,""entropy_max"":2.0794415416798357,""entropy_mean"":1.8964812944934493,""entropy_start"":2.0794415416798357,""episodes_that_concentrated"":6,""first_step_max_w_gt_half"":24.666666666666668,""l1_drift_mean"":0.6117706033758702,""n_episodes"":20,""posterior_moved"":true,""tv_from_uniform_mean"":0.2127037073062287}","{""available"":true,""n_decisions"":1000,""switch_vs_MAP"":0.141,""switch_vs_uniform"":0.075}","{""available"":true,""fraction_unanimous"":0.168,""mean_modal_share"":0.774125,""mean_pairwise_agreement"":0.6514642857142858,""min_modal_share"":0.5,""n_candidates"":8}","{""available"":true,""frac_below_0.001"":0.053,""frac_below_0.01"":0.598,""max"":0.03042028008890707,""mean"":0.009618344871830243,""median"":0.008267546379128854,""min"":1.7615200921916596e-05,""p5"":0.0009704565421182921}","{""action_independent_fraction"":0.45182014835563444,""available"":true,""centred_mean"":0.0007011257598223118,""ratio_centred_over_raw"":0.5481798516443656,""raw_mean"":0.0012790068035502529}","{""accepted_return_mean"":10.384080911650326,""available"":true,""cost_disc_mean"":-1.4625542357976093,""identity_residual"":3.552713678800501e-15,""parity_delta"":0.0,""parity_pass"":true,""penalty_disc_mean"":0.0,""penalty_share_of_magnitude"":0.0,""return_mean"":10.384080911650326,""return_sd"":0.025058465071921873,""utility_disc_mean"":8.921526675852714}","{""available"":true,""families_collapse_everywhere"":false,""frac_r_pos_zero"":0.617,""r_pos_max"":0.2098}","{""available"":true,""frac_below_threshold"":0.0,""min_ratio_m_over_C"":2.6734280676067455}","{""available"":true,""frac_steps_weak_regime"":0.5,""frac_switches_followed_by_action_change"":NaN,""switches_per_episode_mean"":0.0,""switches_per_episode_sd"":0.0}","{""available"":false,""reason"":""matched low/high-noise cell pair not present in replay subset""}","{""available"":false,""reason"":""EVD only""}","{""available"":false,""reason"":""OGSRL only""}","{""available"":true,""danger_stratum_ever_visited"":false,""me_all"":-0.011843754067819142,""me_safe"":-0.011843754067819142,""me_unsafe"":NaN,""n_safe"":1000,""n_unsafe"":0,""rmse_all"":0.053463488245654785,""rmse_safe"":0.053463488245654785,""rmse_unsafe"":NaN}","{""available"":true,""belief_fields_present"":true,""comparable_with_filtering_methods"":true,""method"":""plus"",""note"":"""",""uses_public_reward_surrogate"":true,""uses_sigma_obs"":true}","{""available"":true,""deployed_equals_myopic_oracle"":0.617,""modal_deployed_action"":2,""modal_oracle_action"":2,""true_margin_mean"":0.0424451621683592,""true_margin_median"":0.04277384992651084,""true_margin_min"":0.03151470924464411}"
A2_crab_eating_fox_allee_s0p2,moor,moor_adapted_ricker_misspec_pbvi,"{""available"":false,""reason"":""PLUS only""}","{""available"":false,""reason"":""PLUS only""}","{""available"":false,""reason"":""PLUS only""}","{""available"":true,""frac_below_0.001"":0.0,""frac_below_0.01"":0.034,""max"":0.8640365889920085,""mean"":0.07576094707136084,""median"":0.0706974805293259,""min"":0.0011241507625703306,""p5"":0.021868619108888775}","{""available"":false,""reason"":""PLUS only""}","{""accepted_return_mean"":11.61093636068979,""available"":true,""cost_disc_mean"":-0.23807611282831642,""identity_residual"":1.7763568394002505e-15,""parity_delta"":3.552713678800501e-15,""parity_pass"":true,""penalty_disc_mean"":0.0,""penalty_share_of_magnitude"":0.0,""return_mean"":11.610936360689793,""return_sd"":0.227575768386571,""utility_disc_mean"":11.372860247861476}","{""available"":true,""families_collapse_everywhere"":false,""frac_r_pos_zero"":0.933,""r_pos_max"":0.323}","{""available"":true,""frac_below_threshold"":0.0,""min_ratio_m_over_C"":3.3789569741295247}","{""available"":true,""frac_steps_weak_regime"":0.5,""frac_switches_followed_by_action_change"":NaN,""switches_per_episode_mean"":0.0,""switches_per_episode_sd"":0.0}","{""available"":false,""reason"":""matched low/high-noise cell pair not present in replay subset""}","{""available"":false,""reason"":""EVD only""}","{""available"":false,""reason"":""OGSRL only""}","{""available"":true,""danger_stratum_ever_visited"":false,""me_all"":0.2927345454427841,""me_safe"":0.2927345454427841,""me_unsafe"":NaN,""n_safe"":1000,""n_unsafe"":0,""rmse_all"":0.9401394656756099,""rmse_safe"":0.9401394656756099,""rmse_unsafe"":NaN}","{""available"":true,""belief_fields_present"":true,""comparable_with_filtering_methods"":true,""method"":""moor"",""note"":"""",""uses_public_reward_surrogate"":true,""uses_sigma_obs"":true}","{""available"":true,""deployed_equals_myopic_oracle"":0.467,""modal_deployed_action"":2,""modal_oracle_action"":2,""true_margin_mean"":0.025094599792146385,""true_margin_median"":0.015073954275266643,""true_margin_min"":4.169619604033059e-07}"
A2_crab_eating_fox_allee_s0p2,plus,plus_adapted_ricker_only_pbvi,"{""available"":true,""effective_candidates_mean"":3.878332194634206,""entropy_end_mean"":0.6220694370118939,""entropy_max"":2.0794415416798357,""entropy_mean"":1.1982437905580028,""entropy_start"":2.0794415416798357,""episodes_that_concentrated"":19,""first_step_max_w_gt_half"":18.842105263157894,""l1_drift_mean"":1.4266111870311278,""n_episodes"":20,""posterior_moved"":true,""tv_from_uniform_mean"":0.5205515503453123}","{""available"":true,""n_decisions"":1000,""switch_vs_MAP"":0.709,""switch_vs_uniform"":0.131}","{""available"":true,""fraction_unanimous"":0.002,""mean_modal_share"":0.60475,""mean_pairwise_agreement"":0.40482142857142855,""min_modal_share"":0.25,""n_candidates"":8}","{""available"":true,""frac_below_0.001"":0.012,""frac_below_0.01"":0.054,""max"":0.4951087115326258,""mean"":0.07948036036834338,""median"":0.07173493338429326,""min"":1.580025132863483e-05,""p5"":0.00916307763057417}","{""action_independent_fraction"":0.8826765571625816,""available"":true,""centred_mean"":0.10508362618136342,""ratio_centred_over_raw"":0.1173234428374184,""raw_mean"":0.8956745867659512}","{""accepted_return_mean"":10.966745450258198,""available"":true,""cost_disc_mean"":-1.0299090988708317,""identity_residual"":3.552713678800501e-15,""parity_delta"":0.0,""parity_pass"":true,""penalty_disc_mean"":0.0,""penalty_share_of_magnitude"":0.0,""return_mean"":10.966745450258198,""return_sd"":0.3690629423392706,""utility_disc_mean"":9.936836351387369}","{""available"":true,""families_collapse_everywhere"":false,""frac_r_pos_zero"":0.877,""r_pos_max"":0.3779}","{""available"":true,""frac_below_threshold"":0.0,""min_ratio_m_over_C"":3.0458670617004313}","{""available"":true,""frac_steps_weak_regime"":0.5,""frac_switches_followed_by_action_change"":NaN,""switches_per_episode_mean"":0.0,""switches_per_episode_sd"":0.0}","{""available"":false,""reason"":""matched low/high-noise cell pair not present in replay subset""}","{""available"":false,""reason"":""EVD only""}","{""available"":false,""reason"":""OGSRL only""}","{""available"":true,""danger_stratum_ever_visited"":false,""me_all"":-0.20249364421834326,""me_safe"":-0.20249364421834326,""me_unsafe"":NaN,""n_safe"":1000,""n_unsafe"":0,""rmse_all"":0.6843187876639963,""rmse_safe"":0.6843187876639963,""rmse_unsafe"":NaN}","{""available"":true,""belief_fields_present"":true,""comparable_with_filtering_methods"":true,""method"":""plus"",""note"":"""",""uses_public_reward_surrogate"":true,""uses_sigma_obs"":true}","{""available"":true,""deployed_equals_myopic_oracle"":0.825,""modal_deployed_action"":2,""modal_oracle_action"":2,""true_margin_mean"":0.03181246584553366,""true_margin_median"":0.03128246438775972,""true_margin_min"":4.674723718367524e-05}"
A3_crab_eating_fox_regime_s0p2,moor,moor_adapted_ricker_misspec_pbvi,"{""available"":false,""reason"":""PLUS only""}","{""available"":false,""reason"":""PLUS only""}","{""available"":false,""reason"":""PLUS only""}","{""available"":true,""frac_below_0.001"":0.0,""frac_below_0.01"":0.0,""max"":0.5551937167632026,""mean"":0.1457954042243638,""median"":0.13966144200599673,""min"":0.015922761308291733,""p5"":0.07642573905420491}","{""available"":false,""reason"":""PLUS only""}","{""accepted_return_mean"":10.142482162800942,""available"":true,""cost_disc_mean"":-1.298217521147949,""identity_residual"":5.329070518200751e-15,""parity_delta"":1.7763568394002505e-15,""parity_pass"":true,""penalty_disc_mean"":0.0,""penalty_share_of_magnitude"":0.0,""return_mean"":10.142482162800944,""return_sd"":0.28780648602180264,""utility_disc_mean"":8.844264641652998}","{""available"":true,""families_collapse_everywhere"":false,""frac_r_pos_zero"":0.977,""r_pos_max"":0.3779}","{""available"":true,""frac_below_threshold"":0.0,""min_ratio_m_over_C"":1.9075504164552612}","{""available"":true,""frac_steps_weak_regime"":0.537,""frac_switches_followed_by_action_change"":0.042105263157894736,""switches_per_episode_mean"":4.75,""switches_per_episode_sd"":1.6503588126605426}","{""available"":false,""reason"":""matched low/high-noise cell pair not present in replay subset""}","{""available"":false,""reason"":""EVD only""}","{""available"":false,""reason"":""OGSRL only""}","{""available"":true,""danger_stratum_ever_visited"":false,""me_all"":-1.1081485260254755,""me_safe"":-1.1081485260254755,""me_unsafe"":NaN,""n_safe"":1000,""n_unsafe"":0,""rmse_all"":1.4731264441940985,""rmse_safe"":1.4731264441940985,""rmse_unsafe"":NaN}","{""available"":true,""belief_fields_present"":true,""comparable_with_filtering_methods"":true,""method"":""moor"",""note"":"""",""uses_public_reward_surrogate"":true,""uses_sigma_obs"":true}","{""available"":true,""deployed_equals_myopic_oracle"":0.69,""modal_deployed_action"":2,""modal_oracle_action"":2,""true_margin_mean"":0.02698221244885277,""true_margin_median"":0.03537495889853903,""true_margin_min"":4.037591739736168e-05}"
A3_crab_eating_fox_regime_s0p2,plus,plus_adapted_ricker_only_pbvi,"{""available"":true,""effective_candidates_mean"":3.1064672402666855,""entropy_end_mean"":0.5268991037796774,""entropy_max"":2.0794415416798357,""entropy_mean"":0.979334405246266,""entropy_start"":2.0794415416798357,""episodes_that_concentrated"":20,""first_step_max_w_gt_half"":12.55,""l1_drift_mean"":1.4746364444355613,""n_episodes"":20,""posterior_moved"":true,""tv_from_uniform_mean"":0.5966740575620972}","{""available"":true,""n_decisions"":1000,""switch_vs_MAP"":0.222,""switch_vs_uniform"":0.196}","{""available"":true,""fraction_unanimous"":0.002,""mean_modal_share"":0.668,""mean_pairwise_agreement"":0.4648571428571429,""min_modal_share"":0.25,""n_candidates"":8}","{""available"":true,""frac_below_0.001"":0.005,""frac_below_0.01"":0.032,""max"":0.7528302545640098,""mean"":0.16057784017954804,""median"":0.13378129132281646,""min"":0.00023009812851793043,""p5"":0.016215794624761748}","{""action_independent_fraction"":0.8853702474281607,""available"":true,""centred_mean"":0.14447565610747332,""ratio_centred_over_raw"":0.11462975257183924,""raw_mean"":1.2603678614496654}","{""accepted_return_mean"":10.59072118573906,""available"":true,""cost_disc_mean"":-0.3493982203825824,""identity_residual"":3.552713678800501e-15,""parity_delta"":0.0,""parity_pass"":true,""penalty_disc_mean"":0.0,""penalty_share_of_magnitude"":0.0,""return_mean"":10.59072118573906,""return_sd"":0.4834196349346214,""utility_disc_mean"":10.241322965356478}","{""available"":true,""families_collapse_everywhere"":false,""frac_r_pos_zero"":0.687,""r_pos_max"":0.3779}","{""available"":true,""frac_below_threshold"":0.0,""min_ratio_m_over_C"":2.6819592769570177}","{""available"":true,""frac_steps_weak_regime"":0.537,""frac_switches_followed_by_action_change"":0.2631578947368421,""switches_per_episode_mean"":4.75,""switches_per_episode_sd"":1.6503588126605426}","{""available"":false,""reason"":""matched low/high-noise cell pair not present in replay subset""}","{""available"":false,""reason"":""EVD only""}","{""available"":false,""reason"":""OGSRL only""}","{""available"":true,""danger_stratum_ever_visited"":false,""me_all"":-0.19167434544919457,""me_safe"":-0.19167434544919457,""me_unsafe"":NaN,""n_safe"":1000,""n_unsafe"":0,""rmse_all"":0.8551694323895758,""rmse_safe"":0.8551694323895758,""rmse_unsafe"":NaN}","{""available"":true,""belief_fields_present"":true,""comparable_with_filtering_methods"":true,""method"":""plus"",""note"":"""",""uses_public_reward_surrogate"":true,""uses_sigma_obs"":true}","{""available"":true,""deployed_equals_myopic_oracle"":0.502,""modal_deployed_action"":2,""modal_oracle_action"":2,""true_margin_mean"":0.03285819040414738,""true_margin_median"":0.027690351803046964,""true_margin_min"":0.00016770073287131204}"
A4_crab_eating_fox_theta_s0p2,moor,moor_adapted_ricker_misspec_pbvi,"{""available"":false,""reason"":""PLUS only""}","{""available"":false,""reason"":""PLUS only""}","{""available"":false,""reason"":""PLUS only""}","{""available"":true,""frac_below_0.001"":0.0,""frac_below_0.01"":0.0,""max"":0.06902820267383625,""mean"":0.040893153292581315,""median"":0.04754497217143672,""min"":0.010435475440608855,""p5"":0.024891596628220092}","{""available"":false,""reason"":""PLUS only""}","{""accepted_return_mean"":10.137444889640568,""available"":true,""cost_disc_mean"":-1.846110049446572,""identity_residual"":3.552713678800501e-15,""parity_delta"":3.552713678800501e-15,""parity_pass"":true,""penalty_disc_mean"":0.0,""penalty_share_of_magnitude"":0.0,""return_mean"":10.137444889640571,""return_sd"":1.8225036628030615e-15,""utility_disc_mean"":8.291334840194002}","{""available"":true,""families_collapse_everywhere"":true,""frac_r_pos_zero"":1.0,""r_pos_max"":0.0}","{""available"":true,""frac_below_threshold"":0.0,""min_ratio_m_over_C"":1.8106159193669906}","{""available"":true,""frac_steps_weak_regime"":0.5,""frac_switches_followed_by_action_change"":NaN,""switches_per_episode_mean"":0.0,""switches_per_episode_sd"":0.0}","{""available"":false,""reason"":""matched low/high-noise cell pair not present in replay subset""}","{""available"":false,""reason"":""EVD only""}","{""available"":false,""reason"":""OGSRL only""}","{""available"":true,""danger_stratum_ever_visited"":false,""me_all"":-0.08034992539172806,""me_safe"":-0.08034992539172806,""me_unsafe"":NaN,""n_safe"":1000,""n_unsafe"":0,""rmse_all"":0.097790634261288,""rmse_safe"":0.097790634261288,""rmse_unsafe"":NaN}","{""available"":true,""belief_fields_present"":true,""comparable_with_filtering_methods"":true,""method"":""moor"",""note"":"""",""uses_public_reward_surrogate"":true,""uses_sigma_obs"":true}","{""available"":true,""deployed_equals_myopic_oracle"":0.912,""modal_deployed_action"":2,""modal_oracle_action"":2,""true_margin_mean"":0.013206138490914749,""true_margin_median"":0.008221012428787339,""true_margin_min"":2.1746228158203706e-06}"
A4_crab_eating_fox_theta_s0p2,plus,plus_adapted_ricker_only_pbvi,"{""available"":true,""effective_candidates_mean"":4.195907073770545,""entropy_end_mean"":1.0921960220389784,""entropy_max"":2.0794415416798357,""entropy_mean"":1.389731703237208,""entropy_start"":2.0794415416798357,""episodes_that_concentrated"":17,""first_step_max_w_gt_half"":27.823529411764707,""l1_drift_mean"":1.197381540203328,""n_episodes"":20,""posterior_moved"":true,""tv_from_uniform_mean"":0.4759985416473793}","{""available"":true,""n_decisions"":1000,""switch_vs_MAP"":0.675,""switch_vs_uniform"":0.288}","{""available"":true,""fraction_unanimous"":0.098,""mean_modal_share"":0.629625,""mean_pairwise_agreement"":0.5168214285714287,""min_modal_share"":0.5,""n_candidates"":8}","{""available"":true,""frac_below_0.001"":0.014,""frac_below_0.01"":0.11,""max"":0.1522587563445148,""mean"":0.042786966994525354,""median"":0.04419582346575468,""min"":6.050843408100803e-06,""p5"":0.003297924962303123}","{""action_independent_fraction"":0.8333100168435097,""available"":true,""centred_mean"":0.0022240657305915798,""ratio_centred_over_raw"":0.1666899831564903,""raw_mean"":0.013342527778070525}","{""accepted_return_mean"":10.31138823317132,""available"":true,""cost_disc_mean"":-1.807746957032889,""identity_residual"":3.552713678800501e-15,""parity_delta"":5.329070518200751e-15,""parity_pass"":true,""penalty_disc_mean"":0.0,""penalty_share_of_magnitude"":0.0,""return_mean"":10.311388233171325,""return_sd"":0.12136858978451666,""utility_disc_mean"":8.503641276138435}","{""available"":true,""families_collapse_everywhere"":false,""frac_r_pos_zero"":0.912,""r_pos_max"":0.2334}","{""available"":true,""frac_below_threshold"":0.0,""min_ratio_m_over_C"":2.057721653204956}","{""available"":true,""frac_steps_weak_regime"":0.5,""frac_switches_followed_by_action_change"":NaN,""switches_per_episode_mean"":0.0,""switches_per_episode_sd"":0.0}","{""available"":false,""reason"":""matched low/high-noise cell pair not present in replay subset""}","{""available"":false,""reason"":""EVD only""}","{""available"":false,""reason"":""OGSRL only""}","{""available"":true,""danger_stratum_ever_visited"":false,""me_all"":-0.06927425756575394,""me_safe"":-0.06927425756575394,""me_unsafe"":NaN,""n_safe"":1000,""n_unsafe"":0,""rmse_all"":0.09088357983808973,""rmse_safe"":0.09088357983808973,""rmse_unsafe"":NaN}","{""available"":true,""belief_fields_present"":true,""comparable_with_filtering_methods"":true,""method"":""plus"",""note"":"""",""uses_public_reward_surrogate"":true,""uses_sigma_obs"":true}","{""available"":true,""deployed_equals_myopic_oracle"":0.887,""modal_deployed_action"":2,""modal_oracle_action"":2,""true_margin_mean"":0.020425147713801665,""true_margin_median"":0.01861579344691594,""true_margin_min"":4.121178207527887e-06}"
A5_amur_tiger_theta_s0p1,moor,moor_adapted_ricker_misspec_pbvi,"{""available"":false,""reason"":""PLUS only""}","{""available"":false,""reason"":""PLUS only""}","{""available"":false,""reason"":""PLUS only""}","{""available"":true,""frac_below_0.001"":0.0,""frac_below_0.01"":0.0,""max"":0.39606271213605826,""mean"":0.06495743837441484,""median"":0.0581348726032731,""min"":0.05813487260248529,""p5"":0.05813487260249062}","{""available"":false,""reason"":""PLUS only""}","{""accepted_return_mean"":4.264204637374474,""available"":true,""cost_disc_mean"":5.7690939045205365,""identity_residual"":8.881784197001252e-16,""parity_delta"":0.0,""parity_pass"":true,""penalty_disc_mean"":0.0,""penalty_share_of_magnitude"":0.0,""return_mean"":4.264204637374474,""return_sd"":9.112518314015307e-16,""utility_disc_mean"":10.033298541895013}","{""available"":true,""families_collapse_everywhere"":true,""frac_r_pos_zero"":1.0,""r_pos_max"":0.0}","{""available"":true,""frac_below_threshold"":0.0,""min_ratio_m_over_C"":3.01269101063456}","{""available"":true,""frac_steps_weak_regime"":0.5,""frac_switches_followed_by_action_change"":NaN,""switches_per_episode_mean"":0.0,""switches_per_episode_sd"":0.0}","{""available"":false,""reason"":""matched low/high-noise cell pair not present in replay subset""}","{""available"":false,""reason"":""EVD only""}","{""available"":false,""reason"":""OGSRL only""}","{""available"":true,""danger_stratum_ever_visited"":false,""me_all"":4.137274683153717,""me_safe"":4.137274683153717,""me_unsafe"":NaN,""n_safe"":1000,""n_unsafe"":0,""rmse_all"":4.261942358206857,""rmse_safe"":4.261942358206857,""rmse_unsafe"":NaN}","{""available"":true,""belief_fields_present"":true,""comparable_with_filtering_methods"":true,""method"":""moor"",""note"":"""",""uses_public_reward_surrogate"":true,""uses_sigma_obs"":true}","{""available"":true,""deployed_equals_myopic_oracle"":0.0,""modal_deployed_action"":10,""modal_oracle_action"":1,""true_margin_mean"":0.0017162188426582392,""true_margin_median"":0.001818349324015922,""true_margin_min"":0.00012119371505603382}"
A5_amur_tiger_theta_s0p1,plus,plus_adapted_ricker_only_pbvi,"{""available"":true,""effective_candidates_mean"":1.1597731955089992,""entropy_end_mean"":2.394537229310507e-305,""entropy_max"":2.0794415416798357,""entropy_mean"":0.05511804485002568,""entropy_start"":2.0794415416798357,""episodes_that_concentrated"":20,""first_step_max_w_gt_half"":1.05,""l1_drift_mean"":1.75,""n_episodes"":20,""posterior_moved"":true,""tv_from_uniform_mean"":0.8539517118729694}","{""available"":true,""n_decisions"":1000,""switch_vs_MAP"":0.0,""switch_vs_uniform"":0.0}","{""available"":true,""fraction_unanimous"":0.0,""mean_modal_share"":0.74625,""mean_pairwise_agreement"":0.5660714285714284,""min_modal_share"":0.625,""n_candidates"":8}","{""available"":true,""frac_below_0.001"":0.0,""frac_below_0.01"":0.0,""max"":0.7816112419500794,""mean"":0.5291906020776758,""median"":0.5272941842232655,""min"":0.27789489047825455,""p5"":0.5272941842232584}","{""action_independent_fraction"":0.6783986622485627,""available"":true,""centred_mean"":2.657238913572237,""ratio_centred_over_raw"":0.32160133775143734,""raw_mean"":8.262524441443686}","{""accepted_return_mean"":4.264204637374474,""available"":true,""cost_disc_mean"":5.7690939045205365,""identity_residual"":8.881784197001252e-16,""parity_delta"":0.0,""parity_pass"":true,""penalty_disc_mean"":0.0,""penalty_share_of_magnitude"":0.0,""return_mean"":4.264204637374474,""return_sd"":9.112518314015307e-16,""utility_disc_mean"":10.033298541895013}","{""available"":true,""families_collapse_everywhere"":true,""frac_r_pos_zero"":1.0,""r_pos_max"":0.0}","{""available"":true,""frac_below_threshold"":0.0,""min_ratio_m_over_C"":3.01269101063456}","{""available"":true,""frac_steps_weak_regime"":0.5,""frac_switches_followed_by_action_change"":NaN,""switches_per_episode_mean"":0.0,""switches_per_episode_sd"":0.0}","{""available"":false,""reason"":""matched low/high-noise cell pair not present in replay subset""}","{""available"":false,""reason"":""EVD only""}","{""available"":false,""reason"":""OGSRL only""}","{""available"":true,""danger_stratum_ever_visited"":false,""me_all"":4.137274683153717,""me_safe"":4.137274683153717,""me_unsafe"":NaN,""n_safe"":1000,""n_unsafe"":0,""rmse_all"":4.261942358206857,""rmse_safe"":4.261942358206857,""rmse_unsafe"":NaN}","{""available"":true,""belief_fields_present"":true,""comparable_with_filtering_methods"":true,""method"":""plus"",""note"":"""",""uses_public_reward_surrogate"":true,""uses_sigma_obs"":true}","{""available"":true,""deployed_equals_myopic_oracle"":0.0,""modal_deployed_action"":10,""modal_oracle_action"":1,""true_margin_mean"":0.0017162188426582392,""true_margin_median"":0.001818349324015922,""true_margin_min"":0.00012119371505603382}"
