cell_id,method,source_method,rows,episodes,steps_per_episode,scalar_fields,vector_fields,missing_registered_scalar_fields
A1_crab_eating_fox_ricker_s0p2,moor,moor_adapted_ricker_misspec_pbvi,1000,20,50,"action_t,allee_C_episode,argmax,belief_entropy,belief_mean,cost_t,k_t,m_t,margin_top1_top2,obs_t,oracle_action,penalty_flag_t,r_mort_t,r_pos_t,r_setpoint_t,regime_switched_t,regime_z_t,reward_t,seed,surrogate_reward_t,t,theta_exponent_episode,true_margin_top1_top2,utility_t,x_true_next,x_true_t","q,true_reward_all_actions,x_next_all",-
A1_crab_eating_fox_ricker_s0p2,plus,plus_adapted_ricker_only_pbvi,1000,20,50,"action_t,allee_C_episode,argmax_map_only,argmax_uniform,argmax_weighted,argmax_weighted_matches_deployed,cost_t,k_t,m_t,margin_top1_top2,obs_t,oracle_action,penalty_flag_t,r_mort_t,r_pos_t,r_setpoint_t,regime_switched_t,regime_z_t,reward_t,seed,surrogate_reward_t,t,theta_exponent_episode,true_margin_top1_top2,utility_t,x_true_next,x_true_t","argmax_cand,belief_entropy,belief_mean,q_cand,q_weighted,true_reward_all_actions,w,x_next_all",-
A2_crab_eating_fox_allee_s0p2,moor,moor_adapted_ricker_misspec_pbvi,1000,20,50,"action_t,allee_C_episode,argmax,belief_entropy,belief_mean,cost_t,k_t,m_t,margin_top1_top2,obs_t,oracle_action,penalty_flag_t,r_mort_t,r_pos_t,r_setpoint_t,regime_switched_t,regime_z_t,reward_t,seed,surrogate_reward_t,t,theta_exponent_episode,true_margin_top1_top2,utility_t,x_true_next,x_true_t","q,true_reward_all_actions,x_next_all",-
A2_crab_eating_fox_allee_s0p2,plus,plus_adapted_ricker_only_pbvi,1000,20,50,"action_t,allee_C_episode,argmax_map_only,argmax_uniform,argmax_weighted,argmax_weighted_matches_deployed,cost_t,k_t,m_t,margin_top1_top2,obs_t,oracle_action,penalty_flag_t,r_mort_t,r_pos_t,r_setpoint_t,regime_switched_t,regime_z_t,reward_t,seed,surrogate_reward_t,t,theta_exponent_episode,true_margin_top1_top2,utility_t,x_true_next,x_true_t","argmax_cand,belief_entropy,belief_mean,q_cand,q_weighted,true_reward_all_actions,w,x_next_all",-
A3_crab_eating_fox_regime_s0p2,moor,moor_adapted_ricker_misspec_pbvi,1000,20,50,"action_t,allee_C_episode,argmax,belief_entropy,belief_mean,cost_t,k_t,m_t,margin_top1_top2,obs_t,oracle_action,penalty_flag_t,r_mort_t,r_pos_t,r_setpoint_t,regime_switched_t,regime_z_t,reward_t,seed,surrogate_reward_t,t,theta_exponent_episode,true_margin_top1_top2,utility_t,x_true_next,x_true_t","q,true_reward_all_actions,x_next_all",-
A3_crab_eating_fox_regime_s0p2,plus,plus_adapted_ricker_only_pbvi,1000,20,50,"action_t,allee_C_episode,argmax_map_only,argmax_uniform,argmax_weighted,argmax_weighted_matches_deployed,cost_t,k_t,m_t,margin_top1_top2,obs_t,oracle_action,penalty_flag_t,r_mort_t,r_pos_t,r_setpoint_t,regime_switched_t,regime_z_t,reward_t,seed,surrogate_reward_t,t,theta_exponent_episode,true_margin_top1_top2,utility_t,x_true_next,x_true_t","argmax_cand,belief_entropy,belief_mean,q_cand,q_weighted,true_reward_all_actions,w,x_next_all",-
A4_crab_eating_fox_theta_s0p2,moor,moor_adapted_ricker_misspec_pbvi,1000,20,50,"action_t,allee_C_episode,argmax,belief_entropy,belief_mean,cost_t,k_t,m_t,margin_top1_top2,obs_t,oracle_action,penalty_flag_t,r_mort_t,r_pos_t,r_setpoint_t,regime_switched_t,regime_z_t,reward_t,seed,surrogate_reward_t,t,theta_exponent_episode,true_margin_top1_top2,utility_t,x_true_next,x_true_t","q,true_reward_all_actions,x_next_all",-
A4_crab_eating_fox_theta_s0p2,plus,plus_adapted_ricker_only_pbvi,1000,20,50,"action_t,allee_C_episode,argmax_map_only,argmax_uniform,argmax_weighted,argmax_weighted_matches_deployed,cost_t,k_t,m_t,margin_top1_top2,obs_t,oracle_action,penalty_flag_t,r_mort_t,r_pos_t,r_setpoint_t,regime_switched_t,regime_z_t,reward_t,seed,surrogate_reward_t,t,theta_exponent_episode,true_margin_top1_top2,utility_t,x_true_next,x_true_t","argmax_cand,belief_entropy,belief_mean,q_cand,q_weighted,true_reward_all_actions,w,x_next_all",-
A5_amur_tiger_theta_s0p1,moor,moor_adapted_ricker_misspec_pbvi,1000,20,50,"action_t,allee_C_episode,argmax,belief_entropy,belief_mean,cost_t,k_t,m_t,margin_top1_top2,obs_t,oracle_action,penalty_flag_t,r_mort_t,r_pos_t,r_setpoint_t,regime_switched_t,regime_z_t,reward_t,seed,surrogate_reward_t,t,theta_exponent_episode,true_margin_top1_top2,utility_t,x_true_next,x_true_t","q,true_reward_all_actions,x_next_all",-
A5_amur_tiger_theta_s0p1,plus,plus_adapted_ricker_only_pbvi,1000,20,50,"action_t,allee_C_episode,argmax_map_only,argmax_uniform,argmax_weighted,argmax_weighted_matches_deployed,cost_t,k_t,m_t,margin_top1_top2,obs_t,oracle_action,penalty_flag_t,r_mort_t,r_pos_t,r_setpoint_t,regime_switched_t,regime_z_t,reward_t,seed,surrogate_reward_t,t,theta_exponent_episode,true_margin_top1_top2,utility_t,x_true_next,x_true_t","argmax_cand,belief_entropy,belief_mean,q_cand,q_weighted,true_reward_all_actions,w,x_next_all",-
