cell,method,linear_slope_return_per_multiplier,low_side_slope_0p5_to_0p85,high_side_slope_1p2_to_3
A1,plus,-0.03283056690671629,0.5431666266794398,-0.06751172830604689
A1,moor,-0.04287398111859022,0.4548186352314643,-0.08982068361311694
A2,plus,-0.35871693271806887,1.909334439900617,-0.36866862153974234
A2,moor,-0.01911282379304219,0.514546659520306,-0.066629644096242
A3,plus,0.0460655490436097,2.324453077943684,-0.40172761721979955
A3,moor,0.1569553938339181,2.065565661558129,-0.12643976365649803
A4,plus,0.030878315871923554,0.0016611088534914105,-0.1443994754252355
A4,moor,0.09242633537127211,2.879500236989931e-15,-0.09800733776449659
B2,plus,4.943106351532748e-16,-1.5009565912746842e-16,3.624812669741764e-16
B2,moor,4.943106351532748e-16,-1.5009565912746842e-16,3.624812669741764e-16
B3,plus,-0.003675320392435171,-1.5009565912746842e-16,-0.006018778585602428
B3,moor,4.943106351532748e-16,-1.5009565912746842e-16,3.624812669741764e-16
