cell,population,environment,sigma_obs,method,arm,multiplier,target_observation_scale,return_mean,return_sd,accepted_m1_return_mean,return_degradation_from_m1,surrogate_holdout_R2
A1,Crab-eating fox,ricker,0.2,moor,0.5,0.5,20.72585137294203,10.151087366290087,0.019924361073063453,10.385564166150926,-0.2344767998608397,0.6746089018653465
A1,Crab-eating fox,ricker,0.2,moor,0.7,0.7,29.016191922118843,10.260048049130349,0.035029437294309414,10.385564166150926,-0.1255161170205774,0.673725440574477
A1,Crab-eating fox,ricker,0.2,moor,0.85,0.85,35.23394733400145,10.308474193041702,0.05224575350202923,10.385564166150926,-0.07708997310922427,0.6731745658061903
A1,Crab-eating fox,ricker,0.2,moor,1.2,1.2,49.742043295060874,10.373875563079475,0.034029948362913974,10.385564166150926,-0.011688603071451809,0.6721476729644165
A1,Crab-eating fox,ricker,0.2,moor,1.5,1.5,62.177554118826095,10.172532720386938,0.016987291064452167,10.385564166150926,-0.21303144576398836,0.6714702667545929
A1,Crab-eating fox,ricker,0.2,moor,2.0,2.0,82.90340549176813,10.153605271956147,1.8225036628030615e-15,10.385564166150926,-0.23195889419477922,0.6706107791417496
A1,Crab-eating fox,ricker,0.2,moor,3.0,3.0,124.35510823765219,10.153605271956147,1.8225036628030615e-15,10.385564166150926,-0.23195889419477922,0.6694808057687427
A1,Crab-eating fox,ricker,0.2,moor,kref,0.9891029145737827,41.0,10.384406935927478,0.03316672588037401,10.385564166150926,-0.00115723022344838,0.6727289089612141
A1,Crab-eating fox,ricker,0.2,plus,0.5,0.5,20.72585137294203,10.14064610097823,0.02300214251790858,10.384080911650326,-0.24343481067209538,0.6746089018653465
A1,Crab-eating fox,ricker,0.2,plus,0.7,0.7,29.016191922118843,10.199168227122744,0.04941712754375167,10.384080911650326,-0.18491268452758192,0.673725440574477
A1,Crab-eating fox,ricker,0.2,plus,0.85,0.85,35.23394733400145,10.33576554023517,0.051529353436397425,10.384080911650326,-0.048315371415155184,0.6731745658061903
A1,Crab-eating fox,ricker,0.2,plus,1.2,1.2,49.742043295060874,10.321338079693977,0.04713020330262037,10.384080911650326,-0.06274283195634922,0.6721476729644165
A1,Crab-eating fox,ricker,0.2,plus,1.5,1.5,62.177554118826095,10.164127311959952,0.013439491697145832,10.384080911650326,-0.2199535996903741,0.6714702667545929
A1,Crab-eating fox,ricker,0.2,plus,2.0,2.0,82.90340549176813,10.153605271956147,1.8225036628030615e-15,10.384080911650326,-0.23047563969417872,0.6706107791417496
A1,Crab-eating fox,ricker,0.2,plus,3.0,3.0,124.35510823765219,10.153605271956147,1.8225036628030615e-15,10.384080911650326,-0.23047563969417872,0.6694808057687427
A1,Crab-eating fox,ricker,0.2,plus,kref,0.9891029145737827,41.0,10.384533384213814,0.025609801040394772,10.384080911650326,0.00045247256348801557,0.6727289089612141
A2,Crab-eating fox,allee,0.2,moor,0.5,0.5,20.718534564776572,11.369981013560677,0.25721400012826484,11.61093636068979,-0.2409553471291126,0.6290588260287807
A2,Crab-eating fox,allee,0.2,moor,0.7,0.7,29.005948390687198,11.386922887264785,0.3887366117368655,11.61093636068979,-0.22401347342500522,0.604987134428508
A2,Crab-eating fox,allee,0.2,moor,0.85,0.85,35.22150876012017,11.55866909021278,0.3063155540286771,11.61093636068979,-0.052267270477010186,0.5915756819789082
A2,Crab-eating fox,allee,0.2,moor,1.2,1.2,49.72448295546377,11.453087105432203,0.38737285599771437,11.61093636068979,-0.1578492552575863,0.5692128924207571
A2,Crab-eating fox,allee,0.2,moor,1.5,1.5,62.15560369432971,11.599431979339194,0.15217241259153255,11.61093636068979,-0.011504381350595949,0.5560143793958667
A2,Crab-eating fox,allee,0.2,moor,2.0,2.0,82.87413825910629,11.306115558228726,0.25779742215230017,11.61093636068979,-0.30482080246106413,0.5407219311488973
A2,Crab-eating fox,allee,0.2,moor,3.0,3.0,124.31120738865943,11.4054485725029,0.4769338010125922,11.61093636068979,-0.20548778818688973,0.5226751889116117
A2,Crab-eating fox,allee,0.2,moor,kref,0.9894522190218945,41.0,11.5923192877521,0.21604863918869324,11.61093636068979,-0.018617072937690438,0.5814616160125751
A2,Crab-eating fox,allee,0.2,plus,0.5,0.5,20.718534564776572,10.532211675782294,0.32735468478067603,10.966745450258198,-0.4345337744759039,0.6290588260287807
A2,Crab-eating fox,allee,0.2,plus,0.7,0.7,29.005948390687198,10.883842289622123,0.23914525563685665,10.966745450258198,-0.08290316063607506,0.604987134428508
A2,Crab-eating fox,allee,0.2,plus,0.85,0.85,35.22150876012017,11.203502357161542,0.24344977560857406,10.966745450258198,0.23675690690334328,0.5915756819789082
A2,Crab-eating fox,allee,0.2,plus,1.2,1.2,49.72448295546377,10.659483941980938,0.17170299969312605,10.966745450258198,-0.30726150827726073,0.5692128924207571
A2,Crab-eating fox,allee,0.2,plus,1.5,1.5,62.15560369432971,10.467205910224092,0.0505587950676323,10.966745450258198,-0.4995395400341067,0.5560143793958667
A2,Crab-eating fox,allee,0.2,plus,2.0,2.0,82.87413825910629,10.395057970596442,0.10226623614282732,10.966745450258198,-0.5716874796617564,0.5407219311488973
A2,Crab-eating fox,allee,0.2,plus,3.0,3.0,124.31120738865943,9.961460810475549,0.2690369576325988,10.966745450258198,-1.0052846397826496,0.5226751889116117
A2,Crab-eating fox,allee,0.2,plus,kref,0.9894522190218945,41.0,11.012495582412186,0.3989509874112091,10.966745450258198,0.045750132153987266,0.5814616160125751
A3,Crab-eating fox,regime,0.2,moor,0.5,0.5,19.13786437988022,9.434401607341815,0.06809218862360839,10.142482162800942,-0.7080805554591265,0.7302255640575761
A3,Crab-eating fox,regime,0.2,moor,0.7,0.7,26.793010131832308,10.119974691786691,0.1822020152494773,10.142482162800942,-0.02250747101425077,0.7126779820775269
A3,Crab-eating fox,regime,0.2,moor,0.85,0.85,32.53436944579637,10.130103593673834,0.2815896087280251,10.142482162800942,-0.012378569127108108,0.7025536641476848
A3,Crab-eating fox,regime,0.2,moor,1.2,1.2,45.930874511712524,10.325779235863465,0.5364916703464767,10.142482162800942,0.18329707306252274,0.6850520002069922
A3,Crab-eating fox,regime,0.2,moor,1.5,1.5,57.41359313964066,10.413879813477548,0.40496141979085765,10.142482162800942,0.27139765067660626,0.6743069031932596
A3,Crab-eating fox,regime,0.2,moor,2.0,2.0,76.55145751952088,10.246041177776466,0.3411638045452776,10.142482162800942,0.10355901497552367,0.6613967882520024
A3,Crab-eating fox,regime,0.2,moor,3.0,3.0,114.82718627928132,10.146520483504393,0.28877309672148777,10.142482162800942,0.004038320703450893,0.6453806813334725
A3,Crab-eating fox,regime,0.2,moor,kref,1.071174901916005,41.00000000000001,10.203575736295036,0.3748015645796398,10.142482162800942,0.0610935734940945,0.6907172461701196
A3,Crab-eating fox,regime,0.2,plus,0.5,0.5,19.13786437988022,9.651483705483537,0.33854767373436545,10.59072118573906,-0.9392374802555228,0.7302255640575761
A3,Crab-eating fox,regime,0.2,plus,0.7,0.7,26.793010131832308,10.243576320278443,0.38635172260331924,10.59072118573906,-0.34714486546061707,0.7126779820775269
A3,Crab-eating fox,regime,0.2,plus,0.85,0.85,32.53436944579637,10.45232208284321,0.39806076937827234,10.59072118573906,-0.13839910289584978,0.7025536641476848
