cell,method,stratum,n,mean_signed_error,rmse,parity_max_abs_diff
B1,bamcts,overall,1000,0.6239281171970136,1.0933645696328682,0.0
B1,bamcts,safe,1000,0.6239281171970136,1.0933645696328682,0.0
B1,bamcts,unsafe,0,,,0.0
B1,ogsrl,overall,1000,-1.3088731560113638,1.621249288305981,0.0
B1,ogsrl,safe,1000,-1.3088731560113638,1.621249288305981,0.0
B1,ogsrl,unsafe,0,,,0.0
B1,refplan,overall,1000,0.38183249728770025,1.556337833594547,0.0
B1,refplan,safe,980,0.24953571143520356,1.2239827593524755,0.0
B1,refplan,unsafe,20,6.864375004060038,6.906577781323796,0.0
B2,bamcts,overall,1000,3.5118022276967955,3.666449142762412,0.0
B2,bamcts,safe,1000,3.5118022276967955,3.666449142762412,0.0
B2,bamcts,unsafe,0,,,0.0
B2,ogsrl,overall,1000,0.9738621104091629,1.0573092612642296,0.0
B2,ogsrl,safe,1000,0.9738621104091629,1.0573092612642296,0.0
B2,ogsrl,unsafe,0,,,0.0
B2,refplan,overall,1000,2.999266375604266,3.199529769473406,0.0
B2,refplan,safe,1000,2.999266375604266,3.199529769473406,0.0
B2,refplan,unsafe,0,,,0.0
B3,bamcts,overall,1000,4.61010345173548,4.820594614981844,0.0
B3,bamcts,safe,1000,4.61010345173548,4.820594614981844,0.0
B3,bamcts,unsafe,0,,,0.0
B3,ogsrl,overall,1000,1.0426341872591889,1.1521170898243203,0.0
B3,ogsrl,safe,1000,1.0426341872591889,1.1521170898243203,0.0
B3,ogsrl,unsafe,0,,,0.0
B3,refplan,overall,1000,3.182821574534943,3.530255260431983,0.0
B3,refplan,safe,1000,3.182821574534943,3.530255260431983,0.0
B3,refplan,unsafe,0,,,0.0
