population,bins,policy_family_F,evaluation_family_G,mean_regret,ci95_low,ci95_high
Crab-eating fox,81,ricker,ricker,0.0,0.0,0.0
Crab-eating fox,81,ricker,allee,0.336097604705086,0.31071777675715395,0.3637946853775228
Crab-eating fox,81,ricker,theta,0.19329408271616763,0.17603795033072872,0.21229222328535882
Crab-eating fox,81,ricker,regime,0.540772253635436,0.45230967513327147,0.6423145517900427
Crab-eating fox,161,ricker,ricker,0.0,0.0,0.0
Crab-eating fox,161,ricker,allee,0.3603707278150325,0.32208552406642343,0.4051796588087062
Crab-eating fox,161,ricker,theta,0.194276236768669,0.17812013802568455,0.2123806572463272
Crab-eating fox,161,ricker,regime,0.5752151827786012,0.49331036352641716,0.6677237707176554
Crab-eating fox,321,ricker,ricker,0.0,0.0,0.0
Crab-eating fox,321,ricker,allee,0.3579893651572038,0.3171711658479304,0.4057607586481718
Crab-eating fox,321,ricker,theta,0.17976314077048353,0.14439997080046246,0.21439992533292979
Crab-eating fox,321,ricker,regime,0.5940607098058426,0.5145221219092285,0.6836631752365531
Amur tiger,81,ricker,ricker,0.0,0.0,0.0
Amur tiger,81,ricker,allee,0.0,0.0,0.0
Amur tiger,81,ricker,theta,0.0010363527510062198,0.0010363527510062198,0.0010363527510062198
Amur tiger,81,ricker,regime,0.0,0.0,0.0
Amur tiger,161,ricker,ricker,0.0,0.0,0.0
Amur tiger,161,ricker,allee,0.0,0.0,0.0
Amur tiger,161,ricker,theta,0.0012784983470712774,0.0012784983470712774,0.0012784983470712774
Amur tiger,161,ricker,regime,0.0,0.0,0.0
Amur tiger,321,ricker,ricker,0.0,0.0,0.0
Amur tiger,321,ricker,allee,0.0,0.0,0.0
Amur tiger,321,ricker,theta,0.0003816952382234007,0.0003816952382234007,0.0003816952382234007
Amur tiger,321,ricker,regime,0.0,0.0,0.0
