population,family,seed,grid_41,grid_81,visited_argmax_flip_fraction
Crab-eating fox,ricker,7001,41,81,0.4
Crab-eating fox,ricker,7002,41,81,0.4
Crab-eating fox,ricker,7003,41,81,0.4
Crab-eating fox,ricker,7004,41,81,0.4
Crab-eating fox,ricker,7051,41,81,0.4
Crab-eating fox,ricker,7052,41,81,0.4
Crab-eating fox,ricker,7053,41,81,0.4
Crab-eating fox,ricker,7054,41,81,0.4
Crab-eating fox,ricker,7101,41,81,0.4
Crab-eating fox,ricker,7102,41,81,0.4
Crab-eating fox,ricker,7103,41,81,0.4
Crab-eating fox,ricker,7104,41,81,0.4
Crab-eating fox,ricker,7151,41,81,0.4
Crab-eating fox,ricker,7152,41,81,0.4
Crab-eating fox,ricker,7153,41,81,0.4
Crab-eating fox,ricker,7154,41,81,0.4
Crab-eating fox,ricker,7201,41,81,0.4
Crab-eating fox,ricker,7202,41,81,0.4
Crab-eating fox,ricker,7203,41,81,0.4
Crab-eating fox,ricker,7204,41,81,0.4
Crab-eating fox,allee,7001,41,81,0.52
Crab-eating fox,allee,7002,41,81,0.14
Crab-eating fox,allee,7003,41,81,0.36
Crab-eating fox,allee,7004,41,81,0.54
Crab-eating fox,allee,7051,41,81,0.56
Crab-eating fox,allee,7052,41,81,0.38
Crab-eating fox,allee,7053,41,81,0.46
Crab-eating fox,allee,7054,41,81,0.56
Crab-eating fox,allee,7101,41,81,0.06
Crab-eating fox,allee,7102,41,81,0.08
Crab-eating fox,allee,7103,41,81,0.18
Crab-eating fox,allee,7104,41,81,0.34
Crab-eating fox,allee,7151,41,81,0.58
Crab-eating fox,allee,7152,41,81,0.08
Crab-eating fox,allee,7153,41,81,0.22
Crab-eating fox,allee,7154,41,81,0.14
Crab-eating fox,allee,7201,41,81,0.58
Crab-eating fox,allee,7202,41,81,0.58
Crab-eating fox,allee,7203,41,81,0.46
Crab-eating fox,allee,7204,41,81,0.56
Crab-eating fox,theta,7001,41,81,0.16
Crab-eating fox,theta,7002,41,81,0.5
Crab-eating fox,theta,7003,41,81,0.5
Crab-eating fox,theta,7004,41,81,0.32
Crab-eating fox,theta,7051,41,81,0.44
Crab-eating fox,theta,7052,41,81,0.24
Crab-eating fox,theta,7053,41,81,0.16
Crab-eating fox,theta,7054,41,81,0.14
Crab-eating fox,theta,7101,41,81,0.46
Crab-eating fox,theta,7102,41,81,0.18
Crab-eating fox,theta,7103,41,81,0.14
Crab-eating fox,theta,7104,41,81,0.24
Crab-eating fox,theta,7151,41,81,0.46
Crab-eating fox,theta,7152,41,81,0.44
Crab-eating fox,theta,7153,41,81,0.26
Crab-eating fox,theta,7154,41,81,0.5
Crab-eating fox,theta,7201,41,81,0.58
Crab-eating fox,theta,7202,41,81,0.16
Crab-eating fox,theta,7203,41,81,0.14
Crab-eating fox,theta,7204,41,81,0.46
Crab-eating fox,regime,7001,41,81,0.08
Crab-eating fox,regime,7002,41,81,0.26
Crab-eating fox,regime,7003,41,81,0.38
