population,sigma_obs,true_family,source,family_F,family_G,n,rho_median,rho_q25,rho_q75,rho_frac_lt_1,achieved_lnB_50_mean,heldout_predictive_LL_F,heldout_predictive_LL_G,rho_threshold,lnB_threshold
Crab-eating fox,0.2,ricker,logged_support,ricker,theta,4000,0.3951805709480094,0.0005000000000010552,0.751276841761086,0.891,555154.1561227322,-3.9088796279404177,-22210.07512453723,1.0,4.6
Crab-eating fox,0.2,ricker,logged_support,allee,ricker,4000,0.2695685665322445,0.0,0.8490404464878215,0.784,6.123108271000075,-4.153803958780421,-3.9088796279404177,1.0,4.6
Crab-eating fox,0.2,ricker,logged_support,allee,theta,4000,0.10849067894453945,0.0005000000000010552,0.4141191837087477,0.88,555154.1561227322,-4.153803958780421,-22210.07512453723,1.0,4.6
Crab-eating fox,0.2,ricker,logged_support,allee,regime,4000,0.05655338616955441,0.0,0.14352256857648849,0.99425,1.1003280785530485,-4.153803958780421,-3.9528927510825396,1.0,4.6
Crab-eating fox,0.2,ricker,logged_support,regime,ricker,4000,0.2159852658793482,0.0,0.7109939315431757,0.82275,1.1003280785530485,-3.9528927510825396,-3.9088796279404177,1.0,4.6
Crab-eating fox,0.2,ricker,logged_support,regime,theta,4000,0.10485007407585956,0.0005000000000010552,0.39483692178639507,0.90525,555154.1561227322,-3.9528927510825396,-22210.07512453723,1.0,4.6
Crab-eating fox,0.2,ricker,accepted_policy_visitation,ricker,theta,4000,0.0005000000000010552,0.0004999999999988347,0.0005000000000010552,0.9975,-0.46086912741099606,-3.0478500707512843,-3.0294153056548447,1.0,4.6
Crab-eating fox,0.2,ricker,accepted_policy_visitation,allee,ricker,4000,0.0,0.0,2.220446049250313e-15,0.9865,-0.5236291763273551,-3.02690490369819,-3.0478500707512843,1.0,4.6
Crab-eating fox,0.2,ricker,accepted_policy_visitation,allee,theta,4000,0.0005000000000010552,0.0004999999999988347,0.0005000000000010552,0.99875,-0.46086912741099606,-3.02690490369819,-3.0294153056548447,1.0,4.6
Crab-eating fox,0.2,ricker,accepted_policy_visitation,allee,regime,4000,0.0,0.0,2.220446049250313e-15,1.0,-0.40968116469078436,-3.02690490369819,-3.0314628241636528,1.0,4.6
Crab-eating fox,0.2,ricker,accepted_policy_visitation,regime,ricker,4000,0.0,0.0,0.0,0.991,-0.40968116469078436,-3.0314628241636528,-3.0478500707512843,1.0,4.6
Crab-eating fox,0.2,ricker,accepted_policy_visitation,regime,theta,4000,0.0005000000000010552,0.0004999999999988347,0.0005000000000010552,0.9995,-0.46086912741099606,-3.0314628241636528,-3.0294153056548447,1.0,4.6
Crab-eating fox,0.2,allee,logged_support,ricker,theta,4000,0.31517696339935397,0.0005000000000010552,0.7123138041357086,0.85675,1782873.1720392574,-4.622094957154712,-71319.2185845623,1.0,4.6
Crab-eating fox,0.2,allee,logged_support,allee,ricker,4000,0.34861460497196184,2.220446049250313e-15,1.3091234601904382,0.69,8.25979912857683,-4.291702992011639,-4.622094957154712,1.0,4.6
Crab-eating fox,0.2,allee,logged_support,allee,theta,4000,0.17079622467704558,0.0005000000000010552,1.0784509834866212,0.7345,1782873.1720392574,-4.291702992011639,-71319.2185845623,1.0,4.6
Crab-eating fox,0.2,allee,logged_support,allee,regime,4000,0.06097764753354107,2.220446049250313e-15,0.17559530016920732,0.98225,-10.44834844630183,-4.291702992011639,-3.873769054159566,1.0,4.6
Crab-eating fox,0.2,allee,logged_support,regime,ricker,4000,0.29124698814921635,0.0,1.1505603734177066,0.72175,8.25979912857683,-3.873769054159566,-4.622094957154712,1.0,4.6
Crab-eating fox,0.2,allee,logged_support,regime,theta,4000,0.18599728394736448,0.0005000000000010552,0.9858564620724852,0.7545,1782873.1720392574,-3.873769054159566,-71319.2185845623,1.0,4.6
Crab-eating fox,0.2,allee,accepted_policy_visitation,ricker,theta,2000,0.0004999999999988347,0.0004999999999966143,0.0005000000000010552,1.0,0.046142691449624296,-3.3726507652529962,-3.343096935177072,1.0,4.6
Crab-eating fox,0.2,allee,accepted_policy_visitation,allee,ricker,2000,0.0,0.0,2.220446049250313e-15,0.976,1.5238341952458563,-3.3421740813480794,-3.3726507652529962,1.0,4.6
Crab-eating fox,0.2,allee,accepted_policy_visitation,allee,theta,2000,0.0004999999999988347,0.0004999999999966143,0.0005000000000010552,1.0,0.046142691449624296,-3.3421740813480794,-3.343096935177072,1.0,4.6
Crab-eating fox,0.2,allee,accepted_policy_visitation,allee,regime,2000,0.0,0.0,2.220446049250313e-15,1.0,0.5899356796600669,-3.3421740813480794,-3.353972794941281,1.0,4.6
Crab-eating fox,0.2,allee,accepted_policy_visitation,regime,ricker,2000,0.0,0.0,0.0,0.986,1.5238341952458563,-3.353972794941281,-3.3726507652529962,1.0,4.6
Crab-eating fox,0.2,allee,accepted_policy_visitation,regime,theta,2000,0.0004999999999988347,0.0004999999999966143,0.0005000000000010552,1.0,0.046142691449624296,-3.353972794941281,-3.343096935177072,1.0,4.6
Crab-eating fox,0.2,theta,logged_support,ricker,theta,4000,0.38013493385823494,0.0005000000000010552,0.7910181107042513,0.833,-1348576.6631299579,-4.201178654180909,-53947.2677038525,1.0,4.6
Crab-eating fox,0.2,theta,logged_support,allee,ricker,4000,0.29826122805871713,0.0,0.9879749026026802,0.75375,-1348576.6631299579,-4.558950778272813,-4.201178654180909,1.0,4.6
Crab-eating fox,0.2,theta,logged_support,allee,theta,4000,0.10021366400945864,0.0005000000000010552,0.49406360805866467,0.84775,-1348567.7188268555,-4.558950778272813,-53947.2677038525,1.0,4.6
Crab-eating fox,0.2,theta,logged_support,allee,regime,4000,0.055295890363705746,0.0,0.15784712212427665,0.98725,-1348577.4090447105,-4.558950778272813,-4.171342064071065,1.0,4.6
Crab-eating fox,0.2,theta,logged_support,regime,ricker,4000,0.2363428358982278,0.0,0.8322663045467249,0.7895,-1348576.6631299579,-4.171342064071065,-4.201178654180909,1.0,4.6
Crab-eating fox,0.2,theta,logged_support,regime,theta,4000,0.10056945764559844,0.0005000000000010552,0.464759666280794,0.86125,-1348577.4090447105,-4.171342064071065,-53947.2677038525,1.0,4.6
Crab-eating fox,0.2,theta,accepted_policy_visitation,ricker,theta,2000,0.0004999999999988347,0.0004999999999988347,0.0005000000000010552,1.0,0.24051045865446624,-2.7658688633510966,-2.7610586541780067,1.0,4.6
Crab-eating fox,0.2,theta,accepted_policy_visitation,allee,ricker,2000,0.0,0.0,0.0,1.0,0.24051045865446624,-2.7624949369832885,-2.7658688633510966,1.0,4.6
Crab-eating fox,0.2,theta,accepted_policy_visitation,allee,theta,2000,0.0004999999999988347,0.0004999999999988347,0.0005000000000010552,1.0,0.071814140264076,-2.7624949369832885,-2.7610586541780067,1.0,4.6
Crab-eating fox,0.2,theta,accepted_policy_visitation,allee,regime,2000,0.0,0.0,0.0,1.0,0.15685361546563734,-2.7624949369832885,-2.76419572648732,1.0,4.6
Crab-eating fox,0.2,theta,accepted_policy_visitation,regime,ricker,2000,0.0,0.0,0.0,1.0,0.24051045865446624,-2.76419572648732,-2.7658688633510966,1.0,4.6
Crab-eating fox,0.2,theta,accepted_policy_visitation,regime,theta,2000,0.0004999999999988347,0.0004999999999988347,0.0005000000000010552,1.0,0.15685361546563734,-2.76419572648732,-2.7610586541780067,1.0,4.6
Crab-eating fox,0.2,regime,logged_support,ricker,theta,4000,0.26178924134548365,0.0005000000000010552,0.6024468798500249,0.88325,1582265.7631895565,-5.0811283627663855,-63294.43864881852,1.0,4.6
Crab-eating fox,0.2,regime,logged_support,allee,ricker,4000,0.4105688861545398,2.220446049250313e-15,1.4990835980118606,0.6625,31.825178162616872,-4.111848937040014,-5.0811283627663855,1.0,4.6
Crab-eating fox,0.2,regime,logged_support,allee,theta,4000,0.19341387549923317,0.0005000000000010552,1.2991086772132738,0.7035,1582265.7631895565,-4.111848937040014,-63294.43864881852,1.0,4.6
Crab-eating fox,0.2,regime,logged_support,allee,regime,4000,0.06491090700639579,2.220446049250313e-15,0.17947775241707736,0.98575,7.59319251945759,-4.111848937040014,-3.8081212362617105,1.0,4.6
Crab-eating fox,0.2,regime,logged_support,regime,ricker,4000,0.34614869082579713,0.0,1.3156472326743751,0.69,31.825178162616872,-3.8081212362617105,-5.0811283627663855,1.0,4.6
Crab-eating fox,0.2,regime,logged_support,regime,theta,4000,0.22628343603259493,0.0005000000000010552,1.2500033924089704,0.718,1582265.7631895565,-3.8081212362617105,-63294.43864881852,1.0,4.6
Crab-eating fox,0.2,regime,accepted_policy_visitation,ricker,theta,2000,0.0005000000000010552,0.0004999999999988347,0.0005000000000032756,0.9885,-0.017215097878373876,-3.116807321720442,-3.070131404046188,1.0,4.6
Crab-eating fox,0.2,regime,accepted_policy_visitation,allee,ricker,2000,0.0,0.0,2.220446049250313e-15,0.97,2.3165807858343093,-3.065091380232136,-3.116807321720442,1.0,4.6
Crab-eating fox,0.2,regime,accepted_policy_visitation,allee,theta,2000,0.0005000000000010552,0.0004999999999988347,0.0005000000000010552,0.9945,-0.017215097878373876,-3.065091380232136,-3.070131404046188,1.0,4.6
Crab-eating fox,0.2,regime,accepted_policy_visitation,allee,regime,2000,0.0,0.0,2.220446049250313e-15,1.0,-0.26921628858097735,-3.065091380232136,-3.0704757060037555,1.0,4.6
Crab-eating fox,0.2,regime,accepted_policy_visitation,regime,ricker,2000,0.0,0.0,0.0,0.9775,2.3165807858343093,-3.0704757060037555,-3.116807321720442,1.0,4.6
Crab-eating fox,0.2,regime,accepted_policy_visitation,regime,theta,2000,0.0005000000000010552,0.0004999999999988347,0.0005000000000010552,0.9965,-0.017215097878373876,-3.0704757060037555,-3.070131404046188,1.0,4.6
Crab-eating fox,0.1,ricker,logged_support,ricker,theta,4000,0.6582034909244516,0.0010000000000021103,1.1950327254812476,0.65575,8.513710472757001,-3.210741437561469,-3.551289856471749,1.0,4.6
Crab-eating fox,0.1,ricker,logged_support,allee,ricker,4000,0.4494791892092387,0.0,1.3427427724368157,0.6815,13.821597745515884,-3.763605347382105,-3.210741437561469,1.0,4.6
Crab-eating fox,0.1,ricker,logged_support,allee,theta,4000,0.18242224676402907,0.0010000000000021103,0.5898742730867557,0.83275,8.513710472757001,-3.763605347382105,-3.551289856471749,1.0,4.6
Crab-eating fox,0.1,ricker,logged_support,allee,regime,4000,0.08702851126772826,0.0,0.23888538305001816,0.99825,4.452698771518725,-3.763605347382105,-3.388849388422218,1.0,4.6
Crab-eating fox,0.1,ricker,logged_support,regime,ricker,4000,0.36376150868873136,0.0,1.1232282783678982,0.7245,4.452698771518725,-3.388849388422218,-3.210741437561469,1.0,4.6
Crab-eating fox,0.1,ricker,logged_support,regime,theta,4000,0.15581886412052715,0.0010000000000021103,0.5611332863328766,0.85675,8.513710472757001,-3.388849388422218,-3.551289856471749,1.0,4.6
Crab-eating fox,0.1,allee,logged_support,ricker,theta,4000,0.48863955157925076,0.0010000000000021103,1.1322674374241082,0.70775,1264872.0706853298,-6.944720170098812,-50598.20229668405,1.0,4.6
Crab-eating fox,0.1,allee,logged_support,allee,ricker,4000,0.5257147552888708,4.440892098500626e-15,2.218175017946884,0.61325,90.6312724809978,-3.3194692708588995,-6.944720170098812,1.0,4.6
Crab-eating fox,0.1,allee,logged_support,allee,theta,4000,0.23526326731237335,0.0010000000000021103,1.5206779588852748,0.70475,1264872.0706853298,-3.3194692708588995,-50598.20229668405,1.0,4.6
Crab-eating fox,0.1,allee,logged_support,allee,regime,4000,0.08372192211680174,4.440892098500626e-15,0.2835567168238151,0.97775,1.4414387208436303,-3.3194692708588995,-3.377126819692645,1.0,4.6
Crab-eating fox,0.1,allee,logged_support,regime,ricker,4000,0.4284844078081118,0.0,1.917664656326331,0.6345,90.6312724809978,-3.377126819692645,-6.944720170098812,1.0,4.6
Crab-eating fox,0.1,allee,logged_support,regime,theta,4000,0.2412016352584745,0.0010000000000021103,1.4201571855428519,0.709,1264872.0706853298,-3.377126819692645,-50598.20229668405,1.0,4.6
Crab-eating fox,0.1,theta,logged_support,ricker,theta,4000,0.5197831374247186,0.0010000000000021103,1.2009683004779692,0.682,8.778811131872768,-3.926045008443755,-3.574892563168844,1.0,4.6
Crab-eating fox,0.1,theta,logged_support,allee,ricker,4000,0.41384764688165765,0.0,1.3100262455000422,0.691,8.778811131872768,-3.8610382062157207,-3.926045008443755,1.0,4.6
Crab-eating fox,0.1,theta,logged_support,allee,theta,4000,0.12954401307374797,0.0010000000000021103,0.5013678974444125,0.845,7.15364107617191,-3.8610382062157207,-3.574892563168844,1.0,4.6
Crab-eating fox,0.1,theta,logged_support,allee,regime,4000,0.07212571545464286,0.0,0.2213396360304043,0.992,2.715104583991201,-3.8610382062157207,-3.6834967465284922,1.0,4.6
Crab-eating fox,0.1,theta,logged_support,regime,ricker,4000,0.3376661753774646,0.0,1.1030757271296254,0.731,8.778811131872768,-3.6834967465284922,-3.926045008443755,1.0,4.6
Crab-eating fox,0.1,theta,logged_support,regime,theta,4000,0.10548990295906835,0.0010000000000021103,0.5253450469255283,0.8595,2.715104583991201,-3.6834967465284922,-3.574892563168844,1.0,4.6
Crab-eating fox,0.1,regime,logged_support,ricker,theta,4000,0.4166498318481704,0.0010000000000021103,1.0132664261744029,0.74425,3152735.8680495955,-9.39559038858912,-126112.80788848967,1.0,4.6
Crab-eating fox,0.1,regime,logged_support,allee,ricker,4000,0.6173908829482544,4.440892098500626e-15,2.465692970115838,0.585,150.56059706837905,-3.4115209855300073,-9.39559038858912,1.0,4.6
Crab-eating fox,0.1,regime,logged_support,allee,theta,4000,0.27604079903300605,0.0010000000000021103,2.012582857834299,0.6635,3152735.8680495955,-3.4115209855300073,-126112.80788848967,1.0,4.6
Crab-eating fox,0.1,regime,logged_support,allee,regime,4000,0.09820486963648234,4.440892098500626e-15,0.29282635950811764,0.984,0.9588619919012416,-3.4115209855300073,-3.3731665058539577,1.0,4.6
Crab-eating fox,0.1,regime,logged_support,regime,ricker,4000,0.5017293580335425,0.0,2.191206568276355,0.60375,150.56059706837905,-3.3731665058539577,-9.39559038858912,1.0,4.6
Crab-eating fox,0.1,regime,logged_support,regime,theta,4000,0.289041218649142,0.0010000000000021103,1.9012454835780968,0.67675,3152735.8680495955,-3.3731665058539577,-126112.80788848967,1.0,4.6
Amur tiger,0.1,ricker,logged_support,ricker,theta,4000,0.022966378195128367,0.009999999999994458,0.06305311114354506,1.0,0.5119947053102607,-3.7459279580010008,-3.766407746213411,1.0,4.6
Amur tiger,0.1,ricker,logged_support,allee,ricker,4000,0.0,0.0,0.2706117515930251,0.96925,1.869855231883126,-3.8207221672763256,-3.7459279580010008,1.0,4.6
Amur tiger,0.1,ricker,logged_support,allee,theta,4000,0.16199999999999548,0.009999999999994458,0.3722585501285669,0.962,0.5119947053102607,-3.8207221672763256,-3.766407746213411,1.0,4.6
Amur tiger,0.1,ricker,logged_support,allee,regime,4000,0.0,0.0,0.012551588932478985,1.0,1.577478039516863,-3.8207221672763256,-3.809027079581675,1.0,4.6
Amur tiger,0.1,ricker,logged_support,regime,ricker,4000,0.0,0.0,0.25517788277964804,0.979,1.577478039516863,-3.809027079581675,-3.7459279580010008,1.0,4.6
Amur tiger,0.1,ricker,logged_support,regime,theta,4000,0.16199999999999992,0.009999999999994458,0.34921207287229805,0.972,0.5119947053102607,-3.809027079581675,-3.766407746213411,1.0,4.6
Amur tiger,0.1,ricker,accepted_policy_visitation,ricker,theta,2000,0.009999999999994458,0.009999999999994458,0.009999999999994458,1.0,-0.02749999999998831,-4.443904772777632,-4.443354772777633,1.0,4.6
Amur tiger,0.1,ricker,accepted_policy_visitation,allee,ricker,2000,0.0,0.0,0.0,1.0,0.0,-4.443904772777632,-4.443904772777632,1.0,4.6
Amur tiger,0.1,ricker,accepted_policy_visitation,allee,theta,2000,0.009999999999994458,0.009999999999994458,0.009999999999994458,1.0,-0.02749999999998831,-4.443904772777632,-4.443354772777633,1.0,4.6
Amur tiger,0.1,ricker,accepted_policy_visitation,allee,regime,2000,0.0,0.0,0.0,1.0,0.0,-4.443904772777632,-4.443904772777632,1.0,4.6
Amur tiger,0.1,ricker,accepted_policy_visitation,regime,ricker,2000,0.0,0.0,0.0,1.0,0.0,-4.443904772777632,-4.443904772777632,1.0,4.6
Amur tiger,0.1,ricker,accepted_policy_visitation,regime,theta,2000,0.009999999999994458,0.009999999999994458,0.009999999999994458,1.0,-0.02749999999998831,-4.443904772777632,-4.443354772777633,1.0,4.6
Amur tiger,0.1,allee,logged_support,ricker,theta,4000,0.023931225405036116,0.009999999999998899,0.06109081549484974,0.99975,2.194487626570545,-3.626133871913168,-3.6579823092277177,1.0,4.6
Amur tiger,0.1,allee,logged_support,allee,ricker,4000,0.10001886146900674,0.0,0.3746087394859199,0.9525,1.398276693706802,-3.570202804164896,-3.626133871913168,1.0,4.6
Amur tiger,0.1,allee,logged_support,allee,theta,4000,0.2007098156508924,0.01000000000000334,0.47471961127802165,0.93975,2.194487626570545,-3.570202804164896,-3.6579823092277177,1.0,4.6
Amur tiger,0.1,allee,logged_support,allee,regime,4000,0.0014458947682127743,0.0,0.020772174851723113,1.0,-0.11390337035439399,-3.570202804164896,-3.56564666935072,1.0,4.6
Amur tiger,0.1,allee,logged_support,regime,ricker,4000,0.10234774844306127,0.0,0.3558239076047909,0.966,1.398276693706802,-3.56564666935072,-3.626133871913168,1.0,4.6
Amur tiger,0.1,allee,logged_support,regime,theta,4000,0.20145911550403017,0.01000000000000334,0.4430945558195276,0.958,2.194487626570545,-3.56564666935072,-3.6579823092277177,1.0,4.6
Amur tiger,0.1,theta,logged_support,ricker,theta,4000,0.021545029543579286,0.009999999999994458,0.06284910590140358,0.99975,0.744608796561914,-3.7797788700099755,-3.7499945181474987,1.0,4.6
Amur tiger,0.1,theta,logged_support,allee,ricker,4000,0.0,0.0,0.22952352863051528,0.9735,0.744608796561914,-3.858749176526719,-3.7797788700099755,1.0,4.6
Amur tiger,0.1,theta,logged_support,allee,theta,4000,0.1557616550622054,0.009999999999994458,0.36216885679800304,0.96725,2.7188664594805054,-3.858749176526719,-3.7499945181474987,1.0,4.6
Amur tiger,0.1,theta,logged_support,allee,regime,4000,0.0,0.0,0.011290243517683152,1.0,2.444948833893157,-3.858749176526719,-3.8477924715032255,1.0,4.6
Amur tiger,0.1,theta,logged_support,regime,ricker,4000,0.0,0.0,0.22161833794984043,0.981,0.744608796561914,-3.8477924715032255,-3.7797788700099755,1.0,4.6
Amur tiger,0.1,theta,logged_support,regime,theta,4000,0.16199999999999548,0.009999999999994458,0.340926335615519,0.9755,2.444948833893157,-3.8477924715032255,-3.7499945181474987,1.0,4.6
Amur tiger,0.1,theta,accepted_policy_visitation,ricker,theta,2000,0.009999999999994458,0.009999999999994458,0.009999999999994458,1.0,0.02749999999998831,-4.443904772777632,-4.443354772777633,1.0,4.6
Amur tiger,0.1,theta,accepted_policy_visitation,allee,ricker,2000,0.0,0.0,0.0,1.0,0.02749999999998831,-4.443904772777632,-4.443904772777632,1.0,4.6
Amur tiger,0.1,theta,accepted_policy_visitation,allee,theta,2000,0.009999999999994458,0.009999999999994458,0.009999999999994458,1.0,0.02749999999998831,-4.443904772777632,-4.443354772777633,1.0,4.6
Amur tiger,0.1,theta,accepted_policy_visitation,allee,regime,2000,0.0,0.0,0.0,1.0,0.02749999999998831,-4.443904772777632,-4.443904772777632,1.0,4.6
Amur tiger,0.1,theta,accepted_policy_visitation,regime,ricker,2000,0.0,0.0,0.0,1.0,0.02749999999998831,-4.443904772777632,-4.443904772777632,1.0,4.6
Amur tiger,0.1,theta,accepted_policy_visitation,regime,theta,2000,0.009999999999994458,0.009999999999994458,0.009999999999994458,1.0,0.02749999999998831,-4.443904772777632,-4.443354772777633,1.0,4.6
Amur tiger,0.1,regime,logged_support,ricker,theta,4000,0.024405294915206266,0.009999999999998899,0.06075949945346326,0.99975,2.325136301956044,-3.5662947507790967,-3.6050474734623834,1.0,4.6
Amur tiger,0.1,regime,logged_support,allee,ricker,4000,0.13380689568332826,0.0,0.40415549470205425,0.93725,1.356318234873876,-3.5184425301990165,-3.5662947507790967,1.0,4.6
Amur tiger,0.1,regime,logged_support,allee,theta,4000,0.21136464851028158,0.01000000000000334,0.49406260904440447,0.92725,2.325136301956044,-3.5184425301990165,-3.6050474734623834,1.0,4.6
