population,prior,perfect_family_information_value,best_common_policy_value,best_common_policy,VPI,exceeds_delta_VPI,within_family_prior_ceiling,baseline_method,best_first_actions_by_seed,baseline_sources_by_seed,one_step_reference_action,one_step_reference_value,baseline_ge_one_step_reference
Crab-eating fox,uniform,11.709550349552014,11.709550349552016,true_state_belief_mdp_certificate,-1.7763568394002505e-15,False,,all_11_common_first_actions_then_observation-consistent_family-grid-oracle_continuation,6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6,belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp,6,11.709550349552016,True
Crab-eating fox,ricker_0p5,11.48680690531509,11.48680690531509,true_state_belief_mdp_certificate,0.0,False,,all_11_common_first_actions_then_observation-consistent_family-grid-oracle_continuation,6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6,belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp,6,11.48680690531509,True
Crab-eating fox,ricker_0p7,11.308612149925548,11.308612149925548,true_state_belief_mdp_certificate,0.0,False,,all_11_common_first_actions_then_observation-consistent_family-grid-oracle_continuation,6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6,belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp,6,11.308612149925548,True
Crab-eating fox,nonricker,11.843196416094171,11.84546121608296,true_state_belief_mdp_certificate,-0.0022647999887883685,False,,all_11_common_first_actions_then_observation-consistent_family-grid-oracle_continuation,6;6;6;6;6;6;6;6;6;6;6;6;;6;6;6;6;6;6;,belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;regime;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;belief_mdp;regime,6,11.843196416094173,True
Crab-eating fox,within_ricker,11.041320016841237,11.041320016841237,ricker_fixed_parameter_oracle,,,0.0,,,,,,
Crab-eating fox,within_allee,11.981698310117322,12.11380727029244,allee_fixed_parameter_oracle,,,-0.13210896017511864,,,,,,
Crab-eating fox,within_theta,11.678201918897667,11.690651881147012,theta_fixed_parameter_oracle,,,-0.012449962249345248,,,,,,
Crab-eating fox,within_regime,12.13698115235184,11.888450729118851,regime_fixed_parameter_oracle,,,0.2485304232329888,,,,,,
Amur tiger,uniform,5.734959130524084,5.740607453908924,true_state_belief_mdp_certificate,-0.005648323384839671,False,,all_11_common_first_actions_then_observation-consistent_family-grid-oracle_continuation,;;;;;;;;;;;;;;;;;;;,theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta,0,5.734959130524085,True
Amur tiger,ricker_0p5,5.730974158362824,5.737250073234871,true_state_belief_mdp_certificate,-0.006275914872047039,False,,all_11_common_first_actions_then_observation-consistent_family-grid-oracle_continuation,;;;;;;;;;;;;;;;;;;;,theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta,0,5.730974158362825,True
Amur tiger,ricker_0p7,5.727786180633818,5.734564168695627,true_state_belief_mdp_certificate,-0.006777988061808848,False,,all_11_common_first_actions_then_observation-consistent_family-grid-oracle_continuation,;;;;;;;;;;;;;;;;;;;,theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta,0,5.727786180633818,True
Amur tiger,nonricker,5.737350113820838,5.742621882313357,true_state_belief_mdp_certificate,-0.00527176849251898,False,,all_11_common_first_actions_then_observation-consistent_family-grid-oracle_continuation,;;;;;;;;;;;;;;;;;;;,theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta;theta,0,5.737350113820839,True
Amur tiger,within_ricker,5.723004214040307,5.723004214040307,ricker_fixed_parameter_oracle,,,0.0,,,,,,
Amur tiger,within_allee,5.723004214040307,5.723004214040307,allee_fixed_parameter_oracle,,,0.0,,,,,,
Amur tiger,within_theta,5.770823879975412,5.770823879975412,theta_fixed_parameter_oracle,,,0.0,,,,,,
Amur tiger,within_regime,5.723004214040307,5.723004214040307,regime_fixed_parameter_oracle,,,0.0,,,,,,
