population,environment,sigma_obs,action,reward,return_mean,return_sd,current_parity_delta
Amur tiger,ricker,0.1,0,Current,0.9168613941103139,2.278129578503827e-16,4.440892098500626e-16
Amur tiger,ricker,0.1,0,OptionA,4.938492770324094,9.112518314015307e-16,4.440892098500626e-16
Amur tiger,ricker,0.1,0,OptionC,0.4781833514997591,1.1390647892519134e-16,4.440892098500626e-16
Amur tiger,ricker,0.1,1,Current,-95.16203290609954,0.0,0.0
Amur tiger,ricker,0.1,1,OptionA,-71.93807276162754,1.4580029302424492e-14,0.0
Amur tiger,ricker,0.1,1,OptionC,-95.606471638208,1.4580029302424492e-14,0.0
Amur tiger,ricker,0.1,2,Current,-144.73144628609626,2.9160058604848984e-14,8.526512829121202e-14
Amur tiger,ricker,0.1,2,OptionA,-129.9488691671605,2.9160058604848984e-14,8.526512829121202e-14
Amur tiger,ricker,0.1,2,OptionC,-145.17589073053767,5.832011720969797e-14,8.526512829121202e-14
Amur tiger,ricker,0.1,3,Current,3.897533546380516,4.556259157007654e-16,0.0
Amur tiger,ricker,0.1,3,OptionA,3.897533546380516,4.556259157007654e-16,0.0
Amur tiger,ricker,0.1,3,OptionC,3.4904021452007674,4.556259157007654e-16,0.0
Amur tiger,ricker,0.1,4,Current,-0.46158913304800675,5.695323946259567e-17,1.1102230246251565e-16
Amur tiger,ricker,0.1,4,OptionA,-0.46158913304800675,5.695323946259567e-17,1.1102230246251565e-16
Amur tiger,ricker,0.1,4,OptionC,-0.8676846931525564,0.0,1.1102230246251565e-16
Amur tiger,ricker,0.1,5,Current,-2.5445949486020085,4.556259157007654e-16,0.0
Amur tiger,ricker,0.1,5,OptionA,1.477036427611773,2.278129578503827e-16,0.0
Amur tiger,ricker,0.1,5,OptionC,-2.9832729912125635,4.556259157007654e-16,0.0
Amur tiger,ricker,0.1,6,Current,-8.313688853122548,1.8225036628030615e-15,1.7763568394002505e-15
Amur tiger,ricker,0.1,6,OptionA,-4.292057476908765,0.0,1.7763568394002505e-15
Amur tiger,ricker,0.1,6,OptionC,-8.752366895733102,0.0,1.7763568394002505e-15
Amur tiger,ricker,0.1,7,Current,1.0328575839826282,2.278129578503827e-16,2.220446049250313e-16
Amur tiger,ricker,0.1,7,OptionA,1.0328575839826282,2.278129578503827e-16,2.220446049250313e-16
Amur tiger,ricker,0.1,7,OptionC,0.6336689858521519,0.0,2.220446049250313e-16
Amur tiger,ricker,0.1,8,Current,-4.642920099067817,1.8225036628030615e-15,3.552713678800501e-15
Amur tiger,ricker,0.1,8,OptionA,-4.642920099067817,1.8225036628030615e-15,3.552713678800501e-15
Amur tiger,ricker,0.1,8,OptionC,-5.0418501706650884,9.112518314015307e-16,3.552713678800501e-15
Amur tiger,ricker,0.1,9,Current,-8.280724057394819,0.0,0.0
Amur tiger,ricker,0.1,9,OptionA,-8.280724057394819,0.0,0.0
Amur tiger,ricker,0.1,9,OptionC,-8.674569545756805,1.8225036628030615e-15,0.0
Amur tiger,ricker,0.1,10,Current,4.224420899026084,0.0,0.0
Amur tiger,ricker,0.1,10,OptionA,4.224420899026084,0.0,0.0
Amur tiger,ricker,0.1,10,OptionC,3.8274989731993236,0.0,0.0
Amur tiger,ricker,0.2,0,Current,0.9168613941103139,2.278129578503827e-16,4.440892098500626e-16
Amur tiger,ricker,0.2,0,OptionA,4.938492770324094,9.112518314015307e-16,4.440892098500626e-16
Amur tiger,ricker,0.2,0,OptionC,0.4781833514997591,1.1390647892519134e-16,4.440892098500626e-16
Amur tiger,ricker,0.2,1,Current,-95.16203290609954,0.0,0.0
Amur tiger,ricker,0.2,1,OptionA,-71.93807276162754,1.4580029302424492e-14,0.0
Amur tiger,ricker,0.2,1,OptionC,-95.606471638208,1.4580029302424492e-14,0.0
Amur tiger,ricker,0.2,2,Current,-144.73144628609626,2.9160058604848984e-14,8.526512829121202e-14
Amur tiger,ricker,0.2,2,OptionA,-129.9488691671605,2.9160058604848984e-14,8.526512829121202e-14
Amur tiger,ricker,0.2,2,OptionC,-145.17589073053767,5.832011720969797e-14,8.526512829121202e-14
Amur tiger,ricker,0.2,3,Current,3.897533546380516,4.556259157007654e-16,0.0
Amur tiger,ricker,0.2,3,OptionA,3.897533546380516,4.556259157007654e-16,0.0
Amur tiger,ricker,0.2,3,OptionC,3.4904021452007674,4.556259157007654e-16,0.0
Amur tiger,ricker,0.2,4,Current,-0.46158913304800675,5.695323946259567e-17,1.1102230246251565e-16
Amur tiger,ricker,0.2,4,OptionA,-0.46158913304800675,5.695323946259567e-17,1.1102230246251565e-16
Amur tiger,ricker,0.2,4,OptionC,-0.8676846931525564,0.0,1.1102230246251565e-16
Amur tiger,ricker,0.2,5,Current,-2.5445949486020085,4.556259157007654e-16,0.0
Amur tiger,ricker,0.2,5,OptionA,1.477036427611773,2.278129578503827e-16,0.0
Amur tiger,ricker,0.2,5,OptionC,-2.9832729912125635,4.556259157007654e-16,0.0
Amur tiger,ricker,0.2,6,Current,-8.313688853122548,1.8225036628030615e-15,1.7763568394002505e-15
Amur tiger,ricker,0.2,6,OptionA,-4.292057476908765,0.0,1.7763568394002505e-15
Amur tiger,ricker,0.2,6,OptionC,-8.752366895733102,0.0,1.7763568394002505e-15
Amur tiger,ricker,0.2,7,Current,1.0328575839826282,2.278129578503827e-16,2.220446049250313e-16
